#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    16    0.83491E+03    0.11446E+01    0.12592E-03    0.15557E+00    0.59318E-01    0.11446E+01    0.50431E-02   -0.29297E-07    0.72969E-05    0.89827E-05    0.12592E-03   -0.29297E-07    0.43997E-09    0.60585E-06    0.16633E-06    0.15557E+00    0.72969E-05    0.60585E-06    0.50191E-02    0.96339E-05    0.59318E-01    0.89827E-05    0.16633E-06    0.96339E-05    0.15436E-03
    17    0.84446E+03    0.12150E+01    0.11464E-03    0.15199E+00    0.60875E-01    0.12150E+01    0.51885E-02   -0.88877E-07    0.71110E-05    0.13764E-04    0.11464E-03   -0.88877E-07    0.39720E-09    0.59049E-06    0.17094E-06    0.15199E+00    0.71110E-05    0.59049E-06    0.55011E-02    0.11393E-04    0.60875E-01    0.13764E-04    0.17094E-06    0.11393E-04    0.17817E-03
    18    0.85484E+03    0.12820E+01    0.10484E-03    0.14811E+00    0.62297E-01    0.12820E+01    0.55083E-02   -0.11837E-06    0.63014E-05    0.19153E-04    0.10484E-03   -0.11837E-06    0.36026E-09    0.57412E-06    0.17507E-06    0.14811E+00    0.63014E-05    0.57412E-06    0.59745E-02    0.13217E-04    0.62297E-01    0.19153E-04    0.17507E-06    0.13217E-04    0.20370E-03
    19    0.86687E+03    0.13400E+01    0.96256E-04    0.14399E+00    0.63592E-01    0.13400E+01    0.58697E-02   -0.12557E-06    0.54951E-05    0.21056E-04    0.96256E-04   -0.12557E-06    0.32814E-09    0.55706E-06    0.17875E-06    0.14399E+00    0.54951E-05    0.55706E-06    0.64369E-02    0.15078E-04    0.63592E-01    0.21056E-04    0.17875E-06    0.15078E-04    0.23091E-03
    20    0.87888E+03    0.13842E+01    0.88651E-04    0.13972E+00    0.64754E-01    0.13842E+01    0.62504E-02   -0.11875E-06    0.53299E-05    0.16957E-04    0.88651E-04   -0.11875E-06    0.29998E-09    0.53961E-06    0.18200E-06    0.13972E+00    0.53299E-05    0.53961E-06    0.68862E-02    0.16947E-04    0.64754E-01    0.16957E-04    0.18200E-06    0.16947E-04    0.25974E-03
    21    0.89121E+03    0.14206E+01    0.81864E-04    0.13538E+00    0.65776E-01    0.14206E+01    0.66952E-02   -0.99935E-07    0.54730E-05    0.11365E-04    0.81864E-04   -0.99935E-07    0.27519E-09    0.52205E-06    0.18485E-06    0.13538E+00    0.54730E-05    0.52205E-06    0.73219E-02    0.18806E-04    0.65776E-01    0.11365E-04    0.18485E-06    0.18806E-04    0.29012E-03
    22    0.90411E+03    0.14556E+01    0.75772E-04    0.13104E+00    0.66654E-01    0.14556E+01    0.73361E-02   -0.71120E-07    0.54419E-05    0.92015E-05    0.75772E-04   -0.71120E-07    0.25324E-09    0.50464E-06    0.18734E-06    0.13104E+00    0.54419E-05    0.50464E-06    0.77437E-02    0.20637E-04    0.66654E-01    0.92015E-05    0.18734E-06    0.20637E-04    0.32203E-03
    23    0.91742E+03    0.14907E+01    0.70303E-04    0.12675E+00    0.67401E-01    0.14907E+01    0.82279E-02   -0.40462E-07    0.51272E-05    0.10020E-04    0.70303E-04   -0.40462E-07    0.23373E-09    0.48753E-06    0.18948E-06    0.12675E+00    0.51272E-05    0.48753E-06    0.81517E-02    0.22421E-04    0.67401E-01    0.10020E-04    0.18948E-06    0.22421E-04    0.35538E-03
    24    0.93117E+03    0.15267E+01    0.65395E-04    0.12254E+00    0.68032E-01    0.15267E+01    0.93662E-02   -0.16479E-07    0.45669E-05    0.12123E-04    0.65395E-04   -0.16479E-07    0.21629E-09    0.47086E-06    0.19129E-06    0.12254E+00    0.45669E-05    0.47086E-06    0.85465E-02    0.24137E-04    0.68032E-01    0.12123E-04    0.19129E-06    0.24137E-04    0.39011E-03
    25    0.94531E+03    0.15655E+01    0.60981E-04    0.11844E+00    0.68562E-01    0.15655E+01    0.10760E-01   -0.29889E-08    0.40153E-05    0.14187E-04    0.60981E-04   -0.29889E-08    0.20065E-09    0.45473E-06    0.19279E-06    0.11844E+00    0.40153E-05    0.45473E-06    0.89295E-02    0.25782E-04    0.68562E-01    0.14187E-04    0.19279E-06    0.25782E-04    0.42614E-03
    26    0.95965E+03    0.16095E+01    0.56993E-04    0.11448E+00    0.69003E-01    0.16095E+01    0.12379E-01   -0.10773E-08    0.37178E-05    0.15278E-04    0.56993E-04   -0.10773E-08    0.18656E-09    0.43924E-06    0.19402E-06    0.11448E+00    0.37178E-05    0.43924E-06    0.93027E-02    0.27348E-04    0.69003E-01    0.15278E-04    0.19402E-06    0.27348E-04    0.46340E-03
    27    0.97442E+03    0.16559E+01    0.53373E-04    0.11068E+00    0.69351E-01    0.16559E+01    0.14178E-01   -0.56060E-08    0.36665E-05    0.15655E-04    0.53373E-04   -0.56060E-08    0.17383E-09    0.42445E-06    0.19498E-06    0.11068E+00    0.36665E-05    0.42445E-06    0.96681E-02    0.28819E-04    0.69351E-01    0.15655E-04    0.19498E-06    0.28819E-04    0.50182E-03
    28    0.98948E+03    0.17018E+01    0.50067E-04    0.10705E+00    0.69606E-01    0.17018E+01    0.16144E-01   -0.10995E-07    0.37764E-05    0.15768E-04    0.50067E-04   -0.10995E-07    0.16230E-09    0.41039E-06    0.19570E-06    0.10705E+00    0.37764E-05    0.41039E-06    0.10028E-01    0.30180E-04    0.69606E-01    0.15768E-04    0.19570E-06    0.30180E-04    0.54133E-03
    29    0.10049E+04    0.17454E+01    0.47052E-04    0.10360E+00    0.69782E-01    0.17454E+01    0.18287E-01   -0.16118E-07    0.39056E-05    0.15642E-04    0.47052E-04   -0.16118E-07    0.15181E-09    0.39707E-06    0.19618E-06    0.10360E+00    0.39056E-05    0.39707E-06    0.10385E-01    0.31446E-04    0.69782E-01    0.15642E-04    0.19618E-06    0.31446E-04    0.58183E-03
    30    0.10205E+04    0.17834E+01    0.44304E-04    0.10032E+00    0.69894E-01    0.17834E+01    0.20624E-01   -0.21091E-07    0.39248E-05    0.15234E-04    0.44304E-04   -0.21091E-07    0.14223E-09    0.38447E-06    0.19643E-06    0.10032E+00    0.39248E-05    0.38447E-06    0.10740E-01    0.32635E-04    0.69894E-01    0.15234E-04    0.19643E-06    0.32635E-04    0.62320E-03
    31    0.10363E+04    0.18136E+01    0.41788E-04    0.97229E-01    0.69929E-01    0.18136E+01    0.23139E-01   -0.26529E-07    0.38113E-05    0.14652E-04    0.41788E-04   -0.26529E-07    0.13347E-09    0.37261E-06    0.19647E-06    0.97229E-01    0.38113E-05    0.37261E-06    0.11095E-01    0.33739E-04    0.69929E-01    0.14652E-04    0.19647E-06    0.33739E-04    0.66539E-03
    32    0.10524E+04    0.18337E+01    0.39465E-04    0.94319E-01    0.69878E-01    0.18337E+01    0.25806E-01   -0.32555E-07    0.35807E-05    0.14013E-04    0.39465E-04   -0.32555E-07    0.12545E-09    0.36149E-06    0.19633E-06    0.94319E-01    0.35807E-05    0.36149E-06    0.11454E-01    0.34751E-04    0.69878E-01    0.14013E-04    0.19633E-06    0.34751E-04    0.70835E-03
    33    0.10690E+04    0.18409E+01    0.37311E-04    0.91587E-01    0.69763E-01    0.18409E+01    0.28637E-01   -0.36817E-07    0.32943E-05    0.13340E-04    0.37311E-04   -0.36817E-07    0.11808E-09    0.35107E-06    0.19602E-06    0.91587E-01    0.32943E-05    0.35107E-06    0.11818E-01    0.35695E-04    0.69763E-01    0.13340E-04    0.19602E-06    0.35695E-04    0.75200E-03
    34    0.10857E+04    0.18345E+01    0.35304E-04    0.89025E-01    0.69605E-01    0.18345E+01    0.31661E-01   -0.36891E-07    0.30118E-05    0.12621E-04    0.35304E-04   -0.36891E-07    0.11130E-09    0.34131E-06    0.19554E-06    0.89025E-01    0.30118E-05    0.34131E-06    0.12189E-01    0.36600E-04    0.69605E-01    0.12621E-04    0.19554E-06    0.36600E-04    0.79625E-03
    35    0.11025E+04    0.18188E+01    0.33433E-04    0.86625E-01    0.69396E-01    0.18188E+01    0.34900E-01   -0.32507E-07    0.27422E-05    0.11825E-04    0.33433E-04   -0.32507E-07    0.10504E-09    0.33218E-06    0.19492E-06    0.86625E-01    0.27422E-05    0.33218E-06    0.12566E-01    0.37480E-04    0.69396E-01    0.11825E-04    0.19492E-06    0.37480E-04    0.84103E-03
    36    0.11195E+04    0.17967E+01    0.31690E-04    0.84378E-01    0.69126E-01    0.17967E+01    0.38374E-01   -0.24550E-07    0.24777E-05    0.10948E-04    0.31690E-04   -0.24550E-07    0.99257E-10    0.32363E-06    0.19416E-06    0.84378E-01    0.24777E-05    0.32363E-06    0.12952E-01    0.38347E-04    0.69126E-01    0.10948E-04    0.19416E-06    0.38347E-04    0.88625E-03
    37    0.11366E+04    0.17642E+01    0.30080E-04    0.82274E-01    0.68807E-01    0.17642E+01    0.42076E-01   -0.16348E-07    0.21940E-05    0.10126E-04    0.30080E-04   -0.16348E-07    0.93902E-10    0.31562E-06    0.19328E-06    0.82274E-01    0.21940E-05    0.31562E-06    0.13347E-01    0.39210E-04    0.68807E-01    0.10126E-04    0.19328E-06    0.39210E-04    0.93184E-03
    38    0.11541E+04    0.17192E+01    0.28601E-04    0.80302E-01    0.68455E-01    0.17192E+01    0.46002E-01   -0.10959E-07    0.18731E-05    0.95318E-05    0.28601E-04   -0.10959E-07    0.88935E-10    0.30810E-06    0.19227E-06    0.80302E-01    0.18731E-05    0.30810E-06    0.13750E-01    0.40077E-04    0.68455E-01    0.95318E-05    0.19227E-06    0.40077E-04    0.97774E-03
    39    0.11720E+04    0.16636E+01    0.27235E-04    0.78449E-01    0.68071E-01    0.16636E+01    0.50165E-01   -0.79169E-08    0.15397E-05    0.93300E-05    0.27235E-04   -0.79169E-08    0.84321E-10    0.30103E-06    0.19116E-06    0.78449E-01    0.15397E-05    0.30103E-06    0.14162E-01    0.40966E-04    0.68071E-01    0.93300E-05    0.19116E-06    0.40966E-04    0.10239E-02
    40    0.11900E+04    0.16006E+01    0.25963E-04    0.76704E-01    0.67655E-01    0.16006E+01    0.54584E-01   -0.58740E-08    0.12294E-05    0.96837E-05    0.25963E-04   -0.58740E-08    0.80027E-10    0.29435E-06    0.18995E-06    0.76704E-01    0.12294E-05    0.29435E-06    0.14582E-01    0.41898E-04    0.67655E-01    0.96837E-05    0.18995E-06    0.41898E-04    0.10701E-02
    41    0.12082E+04    0.15319E+01    0.24763E-04    0.75055E-01    0.67205E-01    0.15319E+01    0.59281E-01   -0.37616E-08    0.97016E-06    0.10682E-04    0.24763E-04   -0.37616E-08    0.76021E-10    0.28803E-06    0.18864E-06    0.75055E-01    0.97016E-06    0.28803E-06    0.15009E-01    0.42890E-04    0.67205E-01    0.10682E-04    0.18864E-06    0.42890E-04    0.11165E-02
    42    0.12264E+04    0.14555E+01    0.23632E-04    0.73492E-01    0.66725E-01    0.14555E+01    0.64257E-01   -0.16256E-08    0.76118E-06    0.12120E-04    0.23632E-04   -0.16256E-08    0.72281E-10    0.28202E-06    0.18725E-06    0.73492E-01    0.76118E-06    0.28202E-06    0.15442E-01    0.43951E-04    0.66725E-01    0.12120E-04    0.18725E-06    0.43951E-04    0.11628E-02
    43    0.12448E+04    0.13687E+01    0.22567E-04    0.72005E-01    0.66215E-01    0.13687E+01    0.69508E-01    0.20895E-09    0.59417E-06    0.13717E-04    0.22567E-04    0.20895E-09    0.68788E-10    0.27629E-06    0.18578E-06    0.72005E-01    0.59417E-06    0.27629E-06    0.15878E-01    0.45089E-04    0.66215E-01    0.13717E-04    0.18578E-06    0.45089E-04    0.12091E-02
