     2    0.11309E+04    0.55300E-01    0.14125E-05    0.34218E+01
     3    0.10521E+04    0.88758E-01    0.28255E-05    0.42688E+01
     4    0.97905E+03    0.97935E-01    0.47101E-05    0.43680E+01
     5    0.92287E+03    0.85166E-01    0.70672E-05    0.40285E+01
     6    0.88206E+03    0.61634E-01    0.98973E-05    0.34868E+01
     7    0.85367E+03    0.38466E-01    0.13201E-04    0.28919E+01
     8    0.83445E+03    0.21921E-01    0.16981E-04    0.23338E+01
     9    0.82225E+03    0.12961E-01    0.21236E-04    0.18583E+01
    10    0.81548E+03    0.93767E-02    0.25969E-04    0.14900E+01
    11    0.81257E+03    0.82803E-02    0.31181E-04    0.12364E+01
    12    0.81362E+03    0.77201E-02    0.36873E-04    0.10942E+01
    13    0.81684E+03    0.68805E-02    0.43047E-04    0.10387E+01
    14    0.82129E+03    0.59860E-02    0.49704E-04    0.10406E+01
    15    0.82723E+03    0.53206E-02    0.56847E-04    0.10807E+01
    16    0.83503E+03    0.50764E-02    0.64477E-04    0.11433E+01
    17    0.84461E+03    0.52398E-02    0.72595E-04    0.12134E+01
    18    0.85502E+03    0.55641E-02    0.81203E-04    0.12797E+01
    19    0.86708E+03    0.59241E-02    0.90304E-04    0.13368E+01
    20    0.87911E+03    0.63069E-02    0.99899E-04    0.13802E+01
    21    0.89145E+03    0.67606E-02    0.10999E-03    0.14162E+01
    22    0.90438E+03    0.74179E-02    0.12058E-03    0.14511E+01
    23    0.91770E+03    0.83295E-02    0.13166E-03    0.14865E+01
    24    0.93147E+03    0.94866E-02    0.14325E-03    0.15229E+01
    25    0.94563E+03    0.10897E-01    0.15534E-03    0.15622E+01
    26    0.96000E+03    0.12528E-01    0.16793E-03    0.16068E+01
    27    0.97479E+03    0.14338E-01    0.18103E-03    0.16538E+01
    28    0.98987E+03    0.16315E-01    0.19463E-03    0.17001E+01
    29    0.10053E+04    0.18467E-01    0.20874E-03    0.17438E+01
    30    0.10210E+04    0.20812E-01    0.22336E-03    0.17817E+01
    31    0.10368E+04    0.23334E-01    0.23849E-03    0.18115E+01
    32    0.10529E+04    0.26007E-01    0.25412E-03    0.18310E+01
    33    0.10695E+04    0.28843E-01    0.27027E-03    0.18376E+01
    34    0.10862E+04    0.31875E-01    0.28692E-03    0.18308E+01
    35    0.11031E+04    0.35123E-01    0.30409E-03    0.18147E+01
    36    0.11201E+04    0.38608E-01    0.32177E-03    0.17924E+01
    37    0.11372E+04    0.42321E-01    0.33996E-03    0.17599E+01
    38    0.11547E+04    0.46258E-01    0.35866E-03    0.17148E+01
    39    0.11726E+04    0.50432E-01    0.37787E-03    0.16594E+01
    40    0.11906E+04    0.54861E-01    0.39759E-03    0.15964E+01
    41    0.12089E+04    0.59568E-01    0.41782E-03    0.15278E+01
    42    0.12271E+04    0.64553E-01    0.43856E-03    0.14515E+01
    43    0.12455E+04    0.69812E-01    0.45981E-03    0.13648E+01
    44    0.12639E+04    0.75327E-01    0.48156E-03    0.12657E+01
    45    0.12826E+04    0.81089E-01    0.50383E-03    0.11523E+01
    46    0.13017E+04    0.87095E-01    0.52660E-03    0.10215E+01
    47    0.13209E+04    0.93348E-01    0.54987E-03    0.87513E+00
    48    0.13401E+04    0.99859E-01    0.57365E-03    0.71886E+00
    49    0.13596E+04    0.10662E+00    0.59793E-03    0.55780E+00
    50    0.13794E+04    0.11360E+00    0.62271E-03    0.39027E+00
    51    0.13994E+04    0.12079E+00    0.64799E-03    0.21275E+00
    52    0.14198E+04    0.12827E+00    0.67378E-03    0.19998E-01
    53    0.14402E+04    0.13618E+00    0.70006E-03   -0.19179E+00
    54    0.14605E+04    0.14450E+00    0.72684E-03   -0.41847E+00
    55    0.14810E+04    0.15321E+00    0.75411E-03   -0.65577E+00
    56    0.15018E+04    0.16217E+00    0.78189E-03   -0.90550E+00
    57    0.15229E+04    0.17126E+00    0.81015E-03   -0.11675E+01
    58    0.15443E+04    0.18051E+00    0.83891E-03   -0.14423E+01
    59    0.15659E+04    0.18994E+00    0.86817E-03   -0.17306E+01
    60    0.15876E+04    0.19962E+00    0.89792E-03   -0.20314E+01
    61    0.16098E+04    0.20964E+00    0.92816E-03   -0.23438E+01
    62    0.16319E+04    0.21999E+00    0.95889E-03   -0.26688E+01
    63    0.16540E+04    0.23062E+00    0.99011E-03   -0.30074E+01
    64    0.16766E+04    0.24155E+00    0.10218E-02   -0.33610E+01
    65    0.16992E+04    0.25275E+00    0.10540E-02   -0.37302E+01
    66    0.17222E+04    0.26414E+00    0.10867E-02   -0.41132E+01
    67    0.17453E+04    0.27574E+00    0.11199E-02   -0.45072E+01
    68    0.17688E+04    0.28757E+00    0.11536E-02   -0.49104E+01
    69    0.17925E+04    0.29961E+00    0.11878E-02   -0.53210E+01
    70    0.18165E+04    0.31189E+00    0.12225E-02   -0.57404E+01
    71    0.18406E+04    0.32440E+00    0.12577E-02   -0.61711E+01
    72    0.18650E+04    0.33712E+00    0.12933E-02   -0.66143E+01
    73    0.18894E+04    0.35001E+00    0.13295E-02   -0.70710E+01
    74    0.19141E+04    0.36306E+00    0.13662E-02   -0.75401E+01
    75    0.19391E+04    0.37628E+00    0.14034E-02   -0.80204E+01
    76    0.19643E+04    0.38967E+00    0.14410E-02   -0.85114E+01
    77    0.19899E+04    0.40323E+00    0.14792E-02   -0.90127E+01
    78    0.20158E+04    0.41697E+00    0.15179E-02   -0.95259E+01
    79    0.20419E+04    0.43085E+00    0.15571E-02   -0.10047E+02
    80    0.20683E+04    0.44486E+00    0.15968E-02   -0.10577E+02
