#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    17    0.84446E+03    0.12150E+01    0.11464E-03    0.15194E+00    0.69802E-01    0.12150E+01    0.51885E-02   -0.88877E-07    0.71096E-05    0.14492E-04    0.11464E-03   -0.88877E-07    0.39720E-09    0.59019E-06    0.20379E-06    0.15194E+00    0.71096E-05    0.59019E-06    0.54990E-02    0.13318E-03    0.69802E-01    0.14492E-04    0.20379E-06    0.13318E-03    0.20184E-03
    18    0.85484E+03    0.12820E+01    0.10484E-03    0.14806E+00    0.71143E-01    0.12820E+01    0.55083E-02   -0.11837E-06    0.63002E-05    0.19948E-04    0.10484E-03   -0.11837E-06    0.36026E-09    0.57384E-06    0.20737E-06    0.14806E+00    0.63002E-05    0.57384E-06    0.59723E-02    0.14538E-03    0.71143E-01    0.19948E-04    0.20737E-06    0.14538E-03    0.23042E-03
    19    0.86687E+03    0.13400E+01    0.96256E-04    0.14394E+00    0.72345E-01    0.13400E+01    0.58697E-02   -0.12557E-06    0.54941E-05    0.21864E-04    0.96256E-04   -0.12557E-06    0.32814E-09    0.55679E-06    0.21048E-06    0.14394E+00    0.54941E-05    0.55679E-06    0.64345E-02    0.15738E-03    0.72345E-01    0.21864E-04    0.21048E-06    0.15738E-03    0.26081E-03
    20    0.87888E+03    0.13842E+01    0.88651E-04    0.13968E+00    0.73403E-01    0.13842E+01    0.62504E-02   -0.11875E-06    0.53291E-05    0.17700E-04    0.88651E-04   -0.11875E-06    0.29998E-09    0.53935E-06    0.21314E-06    0.13968E+00    0.53291E-05    0.53935E-06    0.68837E-02    0.16913E-03    0.73403E-01    0.17700E-04    0.21314E-06    0.16913E-03    0.29294E-03
    21    0.89121E+03    0.14206E+01    0.81864E-04    0.13534E+00    0.74313E-01    0.14206E+01    0.66952E-02   -0.99935E-07    0.54722E-05    0.12024E-04    0.81864E-04   -0.99935E-07    0.27519E-09    0.52181E-06    0.21539E-06    0.13534E+00    0.54722E-05    0.52181E-06    0.73193E-02    0.18060E-03    0.74313E-01    0.12024E-04    0.21539E-06    0.18060E-03    0.32675E-03
    22    0.90411E+03    0.14556E+01    0.75772E-04    0.13100E+00    0.75073E-01    0.14556E+01    0.73361E-02   -0.71120E-07    0.54412E-05    0.98226E-05    0.75772E-04   -0.71120E-07    0.25324E-09    0.50441E-06    0.21727E-06    0.13100E+00    0.54412E-05    0.50441E-06    0.77409E-02    0.19178E-03    0.75073E-01    0.98226E-05    0.21727E-06    0.19178E-03    0.36218E-03
    23    0.91742E+03    0.14907E+01    0.70303E-04    0.12671E+00    0.75696E-01    0.14907E+01    0.82279E-02   -0.40462E-07    0.51267E-05    0.10629E-04    0.70303E-04   -0.40462E-07    0.23373E-09    0.48731E-06    0.21882E-06    0.12671E+00    0.51267E-05    0.48731E-06    0.81488E-02    0.20265E-03    0.75696E-01    0.10629E-04    0.21882E-06    0.20265E-03    0.39915E-03
    24    0.93117E+03    0.15267E+01    0.65395E-04    0.12250E+00    0.76199E-01    0.15267E+01    0.93662E-02   -0.16479E-07    0.45665E-05    0.12714E-04    0.65395E-04   -0.16479E-07    0.21629E-09    0.47065E-06    0.22004E-06    0.12250E+00    0.45665E-05    0.47065E-06    0.85435E-02    0.21322E-03    0.76199E-01    0.12714E-04    0.22004E-06    0.21322E-03    0.43758E-03
    25    0.94531E+03    0.15655E+01    0.60981E-04    0.11841E+00    0.76598E-01    0.15655E+01    0.10760E-01   -0.29889E-08    0.40150E-05    0.14757E-04    0.60981E-04   -0.29889E-08    0.20065E-09    0.45453E-06    0.22095E-06    0.11841E+00    0.40150E-05    0.45453E-06    0.89264E-02    0.22350E-03    0.76598E-01    0.14757E-04    0.22095E-06    0.22350E-03    0.47739E-03
    26    0.95965E+03    0.16095E+01    0.56993E-04    0.11445E+00    0.76906E-01    0.16095E+01    0.12379E-01   -0.10773E-08    0.37174E-05    0.15834E-04    0.56993E-04   -0.10773E-08    0.18656E-09    0.43905E-06    0.22159E-06    0.11445E+00    0.37174E-05    0.43905E-06    0.92994E-02    0.23353E-03    0.76906E-01    0.15834E-04    0.22159E-06    0.23353E-03    0.51849E-03
