    0.10000E-03    0.26734E+04
    0.10202E-03    0.26044E+04
    0.10408E-03    0.25391E+04
    0.10618E-03    0.24775E+04
    0.10833E-03    0.24192E+04
    0.11052E-03    0.23643E+04
    0.11275E-03    0.23124E+04
    0.11503E-03    0.22634E+04
    0.11735E-03    0.22173E+04
    0.11972E-03    0.21738E+04
    0.12214E-03    0.21329E+04
    0.12461E-03    0.20944E+04
    0.12712E-03    0.20583E+04
    0.12969E-03    0.20244E+04
    0.13231E-03    0.19926E+04
    0.13499E-03    0.19628E+04
    0.13771E-03    0.19350E+04
    0.14049E-03    0.19091E+04
    0.14333E-03    0.18850E+04
    0.14623E-03    0.18626E+04
    0.14918E-03    0.18419E+04
    0.15220E-03    0.18227E+04
    0.15527E-03    0.18051E+04
    0.15841E-03    0.17890E+04
    0.16161E-03    0.17743E+04
    0.16487E-03    0.17610E+04
    0.16820E-03    0.17490E+04
    0.17160E-03    0.17383E+04
    0.17507E-03    0.17288E+04
    0.17860E-03    0.17206E+04
    0.18221E-03    0.17135E+04
    0.18589E-03    0.17076E+04
    0.18965E-03    0.17028E+04
    0.19348E-03    0.16991E+04
    0.19739E-03    0.16965E+04
    0.20138E-03    0.16948E+04
    0.20544E-03    0.16942E+04
    0.20959E-03    0.16946E+04
    0.21383E-03    0.16959E+04
    0.21815E-03    0.16982E+04
    0.22255E-03    0.17014E+04
    0.22705E-03    0.17056E+04
    0.23164E-03    0.17106E+04
    0.23632E-03    0.17165E+04
    0.24109E-03    0.17233E+04
    0.24596E-03    0.17310E+04
    0.25093E-03    0.17395E+04
    0.25600E-03    0.17488E+04
    0.26117E-03    0.17590E+04
    0.26645E-03    0.17700E+04
    0.27183E-03    0.17819E+04
    0.27732E-03    0.17946E+04
    0.28292E-03    0.18080E+04
    0.28864E-03    0.18223E+04
    0.29447E-03    0.18374E+04
    0.30042E-03    0.18533E+04
    0.30649E-03    0.18700E+04
    0.31268E-03    0.18875E+04
    0.31899E-03    0.19058E+04
    0.32544E-03    0.19249E+04
    0.33201E-03    0.19448E+04
    0.33872E-03    0.19655E+04
    0.34556E-03    0.19871E+04
    0.35254E-03    0.20094E+04
    0.35966E-03    0.20325E+04
    0.36693E-03    0.20565E+04
    0.37434E-03    0.20812E+04
    0.38190E-03    0.21068E+04
    0.38962E-03    0.21332E+04
    0.39749E-03    0.21605E+04
    0.40552E-03    0.21886E+04
    0.41371E-03    0.22175E+04
    0.42207E-03    0.22473E+04
    0.43060E-03    0.22779E+04
    0.43929E-03    0.23095E+04
    0.44817E-03    0.23418E+04
    0.45722E-03    0.23751E+04
    0.46646E-03    0.24092E+04
    0.47588E-03    0.24443E+04
    0.48550E-03    0.24802E+04
    0.49530E-03    0.25171E+04
    0.50531E-03    0.25549E+04
    0.51552E-03    0.25937E+04
    0.52593E-03    0.26333E+04
    0.53656E-03    0.26740E+04
    0.54739E-03    0.27156E+04
    0.55845E-03    0.27582E+04
    0.56973E-03    0.28018E+04
    0.58124E-03    0.28464E+04
