#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    17    0.84449E+03    0.12151E+01    0.11465E-03    0.99751E-01    0.15237E-02    0.12151E+01    0.51885E-02   -0.88754E-07    0.27588E-05    0.64163E-07    0.11465E-03   -0.88754E-07    0.39726E-09    0.55754E-06    0.70499E-08    0.99751E-01    0.27588E-05    0.55754E-06    0.10908E-01    0.56441E-04    0.15237E-02    0.64163E-07    0.70499E-08    0.56441E-04    0.56096E-06
    18    0.85487E+03    0.12821E+01    0.10485E-03    0.94865E-01    0.14744E-02    0.12821E+01    0.55083E-02   -0.11832E-06    0.22393E-05    0.56510E-07    0.10485E-03   -0.11832E-06    0.36032E-09    0.52966E-06    0.67786E-08    0.94865E-01    0.22393E-05    0.52966E-06    0.11542E-01    0.59886E-04    0.14744E-02    0.56510E-07    0.67786E-08    0.59886E-04    0.59789E-06
    19    0.86691E+03    0.13400E+01    0.96265E-04    0.90397E-01    0.14257E-02    0.13400E+01    0.58696E-02   -0.12564E-06    0.17918E-05    0.48934E-07    0.96265E-04   -0.12564E-06    0.32819E-09    0.50437E-06    0.65186E-08    0.90397E-01    0.17918E-05    0.50437E-06    0.12186E-01    0.63337E-04    0.14257E-02    0.48934E-07    0.65186E-08    0.63337E-04    0.63408E-06
    20    0.87891E+03    0.13842E+01    0.88656E-04    0.86327E-01    0.13779E-02    0.13842E+01    0.62504E-02   -0.11886E-06    0.14517E-05    0.45786E-07    0.88656E-04   -0.11886E-06    0.30003E-09    0.48145E-06    0.62697E-08    0.86327E-01    0.14517E-05    0.48145E-06    0.12847E-01    0.66808E-04    0.13779E-02    0.45786E-07    0.62697E-08    0.66808E-04    0.66954E-06
    21    0.89123E+03    0.14207E+01    0.81865E-04    0.82630E-01    0.13314E-02    0.14207E+01    0.66952E-02   -0.99995E-07    0.11811E-05    0.45433E-07    0.81865E-04   -0.99995E-07    0.27524E-09    0.46070E-06    0.60322E-08    0.82630E-01    0.11811E-05    0.46070E-06    0.13526E-01    0.70310E-04    0.13314E-02    0.45433E-07    0.60322E-08    0.70310E-04    0.70431E-06
    22    0.90413E+03    0.14557E+01    0.75771E-04    0.79276E-01    0.12865E-02    0.14557E+01    0.73361E-02   -0.71083E-07    0.93379E-06    0.45058E-07    0.75771E-04   -0.71083E-07    0.25329E-09    0.44187E-06    0.58063E-08    0.79276E-01    0.93379E-06    0.44187E-06    0.14225E-01    0.73848E-04    0.12865E-02    0.45058E-07    0.58063E-08    0.73848E-04    0.73846E-06
    23    0.91743E+03    0.14908E+01    0.70303E-04    0.76222E-01    0.12431E-02    0.14908E+01    0.82278E-02   -0.40371E-07    0.70420E-06    0.43107E-07    0.70303E-04   -0.40371E-07    0.23378E-09    0.42470E-06    0.55916E-08    0.76222E-01    0.70420E-06    0.42470E-06    0.14942E-01    0.77415E-04    0.12431E-02    0.43107E-07    0.55916E-08    0.77415E-04    0.77203E-06
    24    0.93119E+03    0.15268E+01    0.65396E-04    0.73426E-01    0.12013E-02    0.15268E+01    0.93663E-02   -0.16447E-07    0.49858E-06    0.38986E-07    0.65396E-04   -0.16447E-07    0.21633E-09    0.40891E-06    0.53877E-08    0.73426E-01    0.49858E-06    0.40891E-06    0.15672E-01    0.80997E-04    0.12013E-02    0.38986E-07    0.53877E-08    0.80997E-04    0.80502E-06
    25    0.94533E+03    0.15655E+01    0.60983E-04    0.70846E-01    0.11613E-02    0.15655E+01    0.10761E-01   -0.30441E-08    0.33000E-06    0.34680E-07    0.60983E-04   -0.30441E-08    0.20069E-09    0.39430E-06    0.51941E-08    0.70846E-01    0.33000E-06    0.39430E-06    0.16408E-01    0.84576E-04    0.11613E-02    0.34680E-07    0.51941E-08    0.84576E-04    0.83747E-06
    26    0.95967E+03    0.16095E+01    0.56995E-04    0.68449E-01    0.11229E-02    0.16095E+01    0.12379E-01   -0.11536E-08    0.21013E-06    0.32254E-07    0.56995E-04   -0.11536E-08    0.18660E-09    0.38067E-06    0.50107E-08    0.68449E-01    0.21013E-06    0.38067E-06    0.17145E-01    0.88135E-04    0.11229E-02    0.32254E-07    0.50107E-08    0.88135E-04    0.86946E-06
    27    0.97445E+03    0.16559E+01    0.53374E-04    0.66203E-01    0.10862E-02    0.16559E+01    0.14178E-01   -0.56383E-08    0.13812E-06    0.31490E-07    0.53374E-04   -0.56383E-08    0.17387E-09    0.36784E-06    0.48369E-08    0.66203E-01    0.13812E-06    0.36784E-06    0.17874E-01    0.91652E-04    0.10862E-02    0.31490E-07    0.48369E-08    0.91652E-04    0.90100E-06
    28    0.98951E+03    0.17019E+01    0.50068E-04    0.64080E-01    0.10512E-02    0.17019E+01    0.16144E-01   -0.10951E-07    0.10639E-06    0.31584E-07    0.50068E-04   -0.10951E-07    0.16234E-09    0.35566E-06    0.46723E-08    0.64080E-01    0.10639E-06    0.35566E-06    0.18588E-01    0.95106E-04    0.10512E-02    0.31584E-07    0.46723E-08    0.95106E-04    0.93214E-06
    29    0.10049E+04    0.17454E+01    0.47052E-04    0.62054E-01    0.10177E-02    0.17454E+01    0.18287E-01   -0.16032E-07    0.92917E-07    0.31650E-07    0.47052E-04   -0.16032E-07    0.15184E-09    0.34402E-06    0.45162E-08    0.62054E-01    0.92917E-07    0.34402E-06    0.19278E-01    0.98470E-04    0.10177E-02    0.31650E-07    0.45162E-08    0.98470E-04    0.96285E-06
    30    0.10206E+04    0.17835E+01    0.44305E-04    0.60101E-01    0.98578E-03    0.17835E+01    0.20624E-01   -0.21046E-07    0.76715E-07    0.30985E-07    0.44305E-04   -0.21046E-07    0.14226E-09    0.33279E-06    0.43680E-08    0.60101E-01    0.76715E-07    0.33279E-06    0.19937E-01    0.10172E-03    0.98578E-03    0.30985E-07    0.43680E-08    0.10172E-03    0.99311E-06
    31    0.10363E+04    0.18137E+01    0.41788E-04    0.58212E-01    0.95532E-03    0.18137E+01    0.23139E-01   -0.26562E-07    0.55326E-07    0.29698E-07    0.41788E-04   -0.26562E-07    0.13351E-09    0.32194E-06    0.42274E-08    0.58212E-01    0.55326E-07    0.32194E-06    0.20560E-01    0.10485E-03    0.95532E-03    0.29698E-07    0.42274E-08    0.10485E-03    0.10230E-05
    32    0.10525E+04    0.18337E+01    0.39466E-04    0.56381E-01    0.92637E-03    0.18337E+01    0.25806E-01   -0.32642E-07    0.31795E-07    0.28100E-07    0.39466E-04   -0.32642E-07    0.12548E-09    0.31143E-06    0.40942E-08    0.56381E-01    0.31795E-07    0.31143E-06    0.21145E-01    0.10786E-03    0.92637E-03    0.28100E-07    0.40942E-08    0.10786E-03    0.10525E-05
    33    0.10690E+04    0.18409E+01    0.37312E-04    0.54598E-01    0.89882E-03    0.18409E+01    0.28637E-01   -0.36906E-07    0.12631E-07    0.26480E-07    0.37312E-04   -0.36906E-07    0.11811E-09    0.30122E-06    0.39679E-08    0.54598E-01    0.12631E-07    0.30122E-06    0.21689E-01    0.11072E-03    0.89882E-03    0.26480E-07    0.39679E-08    0.11072E-03    0.10818E-05
    34    0.10857E+04    0.18346E+01    0.35304E-04    0.52853E-01    0.87255E-03    0.18346E+01    0.31661E-01   -0.36919E-07    0.32585E-08    0.25048E-07    0.35304E-04   -0.36919E-07    0.11133E-09    0.29131E-06    0.38480E-08    0.52853E-01    0.32585E-08    0.29131E-06    0.22190E-01    0.11344E-03    0.87255E-03    0.25048E-07    0.38480E-08    0.11344E-03    0.11107E-05
    35    0.11026E+04    0.18189E+01    0.33433E-04    0.51148E-01    0.84755E-03    0.18189E+01    0.34900E-01   -0.32462E-07    0.12803E-08    0.23718E-07    0.33433E-04   -0.32462E-07    0.10507E-09    0.28167E-06    0.37342E-08    0.51148E-01    0.12803E-08    0.28167E-06    0.22651E-01    0.11601E-03    0.84755E-03    0.23718E-07    0.37342E-08    0.11601E-03    0.11392E-05
    36    0.11195E+04    0.17968E+01    0.31691E-04    0.49489E-01    0.82377E-03    0.17968E+01    0.38374E-01   -0.24473E-07    0.26348E-08    0.22341E-07    0.31691E-04   -0.24473E-07    0.99285E-10    0.27232E-06    0.36260E-08    0.49489E-01    0.26348E-08    0.27232E-06    0.23074E-01    0.11845E-03    0.82377E-03    0.22341E-07    0.36260E-08    0.11845E-03    0.11675E-05
    37    0.11366E+04    0.17644E+01    0.30081E-04    0.47872E-01    0.80113E-03    0.17644E+01    0.42076E-01   -0.16281E-07    0.44100E-08    0.20804E-07    0.30081E-04   -0.16281E-07    0.93930E-10    0.26325E-06    0.35232E-08    0.47872E-01    0.44100E-08    0.26325E-06    0.23462E-01    0.12076E-03    0.80113E-03    0.20804E-07    0.35232E-08    0.12076E-03    0.11954E-05
    38    0.11541E+04    0.17193E+01    0.28602E-04    0.46292E-01    0.77951E-03    0.17193E+01    0.46002E-01   -0.10934E-07    0.45856E-08    0.19050E-07    0.28602E-04   -0.10934E-07    0.88962E-10    0.25448E-06    0.34253E-08    0.46292E-01    0.45856E-08    0.25448E-06    0.23820E-01    0.12295E-03    0.77951E-03    0.19050E-07    0.34253E-08    0.12295E-03    0.12230E-05
    39    0.11720E+04    0.16637E+01    0.27237E-04    0.44753E-01    0.75888E-03    0.16637E+01    0.50165E-01   -0.79415E-08    0.35563E-08    0.17202E-07    0.27237E-04   -0.79415E-08    0.84347E-10    0.24601E-06    0.33321E-08    0.44753E-01    0.35563E-08    0.24601E-06    0.24154E-01    0.12502E-03    0.75888E-03    0.17202E-07    0.33321E-08    0.12502E-03    0.12503E-05
    40    0.11900E+04    0.16006E+01    0.25964E-04    0.43262E-01    0.73917E-03    0.16006E+01    0.54584E-01   -0.59292E-08    0.23210E-08    0.15430E-07    0.25964E-04   -0.59292E-08    0.80052E-10    0.23785E-06    0.32432E-08    0.43262E-01    0.23210E-08    0.23785E-06    0.24468E-01    0.12700E-03    0.73917E-03    0.15430E-07    0.32432E-08    0.12700E-03    0.12772E-05
    41    0.12082E+04    0.15319E+01    0.24765E-04    0.41824E-01    0.72035E-03    0.15319E+01    0.59281E-01   -0.38089E-08    0.16665E-08    0.13865E-07    0.24765E-04   -0.38089E-08    0.76046E-10    0.23002E-06    0.31583E-08    0.41824E-01    0.16665E-08    0.23002E-06    0.24770E-01    0.12890E-03    0.72035E-03    0.13865E-07    0.31583E-08    0.12890E-03    0.13038E-05
    42    0.12264E+04    0.14555E+01    0.23634E-04    0.40440E-01    0.70235E-03    0.14555E+01    0.64257E-01   -0.16371E-08    0.15338E-08    0.12489E-07    0.23634E-04   -0.16371E-08    0.72305E-10    0.22252E-06    0.30772E-08    0.40440E-01    0.15338E-08    0.22252E-06    0.25063E-01    0.13073E-03    0.70235E-03    0.12489E-07    0.30772E-08    0.13073E-03    0.13301E-05
    43    0.12448E+04    0.13688E+01    0.22568E-04    0.39112E-01    0.68513E-03    0.13688E+01    0.69507E-01    0.24289E-09    0.16520E-08    0.11245E-07    0.22568E-04    0.24289E-09    0.68811E-10    0.21533E-06    0.29996E-08    0.39112E-01    0.16520E-08    0.21533E-06    0.25352E-01    0.13250E-03    0.68513E-03    0.11245E-07    0.29996E-08    0.13250E-03    0.13559E-05
    44    0.12632E+04    0.12697E+01    0.21566E-04    0.37840E-01    0.66864E-03    0.12697E+01    0.75014E-01    0.14882E-08    0.17505E-08    0.10077E-07    0.21566E-04    0.14882E-08    0.65543E-10    0.20848E-06    0.29253E-08    0.37840E-01    0.17505E-08    0.20848E-06    0.25643E-01    0.13423E-03    0.66864E-03    0.10077E-07    0.29253E-08    0.13423E-03    0.13814E-05
    45    0.12819E+04    0.11564E+01    0.20624E-04    0.36624E-01    0.65282E-03    0.11564E+01    0.80769E-01    0.17558E-08    0.15585E-08    0.89290E-08    0.20624E-04    0.17558E-08    0.62482E-10    0.20195E-06    0.28541E-08    0.36624E-01    0.15585E-08    0.20195E-06    0.25939E-01    0.13593E-03    0.65282E-03    0.89290E-08    0.28541E-08    0.13593E-03    0.14066E-05
    46    0.13009E+04    0.10257E+01    0.19741E-04    0.35464E-01    0.63762E-03    0.10257E+01    0.86768E-01    0.83170E-09    0.87639E-09    0.77610E-08    0.19741E-04    0.83170E-09    0.59607E-10    0.19576E-06    0.27858E-08    0.35464E-01    0.87639E-09    0.19576E-06    0.26245E-01    0.13762E-03    0.63762E-03    0.77610E-08    0.27858E-08    0.13762E-03    0.14314E-05
    47    0.13201E+04    0.87944E+00    0.18910E-04    0.34360E-01    0.62301E-03    0.87944E+00    0.93014E-01   -0.98150E-09   -0.21075E-09    0.66028E-08    0.18910E-04   -0.98150E-09    0.56906E-10    0.18987E-06    0.27203E-08    0.34360E-01   -0.21075E-09    0.18987E-06    0.26561E-01    0.13931E-03    0.62301E-03    0.66028E-08    0.27203E-08    0.13931E-03    0.14558E-05
    48    0.13393E+04    0.72328E+00    0.18125E-04    0.33309E-01    0.60895E-03    0.72328E+00    0.99518E-01   -0.32522E-08   -0.15467E-08    0.55010E-08    0.18125E-04   -0.32522E-08    0.54368E-10    0.18429E-06    0.26573E-08    0.33309E-01   -0.15467E-08    0.18429E-06    0.26888E-01    0.14099E-03    0.60895E-03    0.55010E-08    0.26573E-08    0.14099E-03    0.14798E-05
    49    0.13587E+04    0.56230E+00    0.17383E-04    0.32309E-01    0.59539E-03    0.56230E+00    0.10627E+00   -0.55488E-08   -0.29753E-08    0.45024E-08    0.17383E-04   -0.55488E-08    0.51979E-10    0.17901E-06    0.25966E-08    0.32309E-01   -0.29753E-08    0.17901E-06    0.27226E-01    0.14267E-03    0.59539E-03    0.45024E-08    0.25966E-08    0.14267E-03    0.15034E-05
    50    0.13785E+04    0.39479E+00    0.16676E-04    0.31359E-01    0.58232E-03    0.39479E+00    0.11325E+00   -0.74397E-08   -0.43402E-08    0.36535E-08    0.16676E-04   -0.74397E-08    0.49729E-10    0.17400E-06    0.25383E-08    0.31359E-01   -0.43402E-08    0.17400E-06    0.27576E-01    0.14437E-03    0.58232E-03    0.36535E-08    0.25383E-08    0.14437E-03    0.15267E-05
    51    0.13985E+04    0.21722E+00    0.16000E-04    0.30457E-01    0.56968E-03    0.21722E+00    0.12043E+00   -0.85903E-08   -0.54963E-08    0.29864E-08    0.16000E-04   -0.85903E-08    0.47607E-10    0.16925E-06    0.24820E-08    0.30457E-01   -0.54963E-08    0.16925E-06    0.27936E-01    0.14608E-03    0.56968E-03    0.29864E-08    0.24820E-08    0.14608E-03    0.15496E-05
    52    0.14189E+04    0.24356E-01    0.15355E-04    0.29601E-01    0.55747E-03    0.24356E-01    0.12790E+00   -0.90545E-08   -0.63425E-08    0.24754E-08    0.15355E-04   -0.90545E-08    0.45603E-10    0.16475E-06    0.24277E-08    0.29601E-01   -0.63425E-08    0.16475E-06    0.28306E-01    0.14781E-03    0.55747E-03    0.24754E-08    0.24277E-08    0.14781E-03    0.15722E-05
    53    0.14392E+04   -0.18759E+00    0.14743E-04    0.28787E-01    0.54564E-03   -0.18759E+00    0.13580E+00   -0.89832E-08   -0.67890E-08    0.20798E-08    0.14743E-04   -0.89832E-08    0.43711E-10    0.16049E-06    0.23753E-08    0.28787E-01   -0.67890E-08    0.16049E-06    0.28682E-01    0.14955E-03    0.54564E-03    0.20798E-08    0.23753E-08    0.14955E-03    0.15943E-05
    54    0.14595E+04   -0.41446E+00    0.14165E-04    0.28014E-01    0.53418E-03   -0.41446E+00    0.14412E+00   -0.85273E-08   -0.67457E-08    0.17594E-08    0.14165E-04   -0.85273E-08    0.41922E-10    0.15644E-06    0.23247E-08    0.28014E-01   -0.67457E-08    0.15644E-06    0.29063E-01    0.15130E-03    0.53418E-03    0.17594E-08    0.23247E-08    0.15130E-03    0.16162E-05
    55    0.14800E+04   -0.65197E+00    0.13622E-04    0.27278E-01    0.52307E-03   -0.65197E+00    0.15283E+00   -0.78377E-08   -0.61227E-08    0.14737E-08    0.13622E-04   -0.78377E-08    0.40229E-10    0.15258E-06    0.22757E-08    0.27278E-01   -0.61227E-08    0.15258E-06    0.29444E-01    0.15306E-03    0.52307E-03    0.14737E-08    0.22757E-08    0.15306E-03    0.16376E-05
    56    0.15008E+04   -0.90190E+00    0.13114E-04    0.26578E-01    0.51227E-03   -0.90190E+00    0.16178E+00   -0.70441E-08   -0.48766E-08    0.11913E-08    0.13114E-04   -0.70441E-08    0.38624E-10    0.14891E-06    0.22283E-08    0.26578E-01   -0.48766E-08    0.14891E-06    0.29825E-01    0.15483E-03    0.51227E-03    0.11913E-08    0.22283E-08    0.15483E-03    0.16587E-05
    57    0.15219E+04   -0.11641E+01    0.12638E-04    0.25910E-01    0.50178E-03   -0.11641E+01    0.17087E+00   -0.61913E-08   -0.31503E-08    0.91732E-09    0.12638E-04   -0.61913E-08    0.37103E-10    0.14540E-06    0.21824E-08    0.25910E-01   -0.31503E-08    0.14540E-06    0.30203E-01    0.15660E-03    0.50178E-03    0.91732E-09    0.21824E-08    0.15660E-03    0.16794E-05
    58    0.15433E+04   -0.14391E+01    0.12190E-04    0.25274E-01    0.49158E-03   -0.14391E+01    0.18011E+00   -0.53029E-08   -0.11330E-08    0.66566E-09    0.12190E-04   -0.53029E-08    0.35660E-10    0.14205E-06    0.21378E-08    0.25274E-01   -0.11330E-08    0.14205E-06    0.30576E-01    0.15836E-03    0.49158E-03    0.66566E-09    0.21378E-08    0.15836E-03    0.16998E-05
    59    0.15648E+04   -0.17275E+01    0.11765E-04    0.24665E-01    0.48166E-03   -0.17275E+01    0.18954E+00   -0.44023E-08    0.98578E-09    0.45036E-09    0.11765E-04   -0.44023E-08    0.34291E-10    0.13884E-06    0.20946E-08    0.24665E-01    0.98578E-09    0.13884E-06    0.30941E-01    0.16012E-03    0.48166E-03    0.45036E-09    0.20946E-08    0.16012E-03    0.17199E-05
