#    L    TxT            TxE            TxP            TxW1           ExT            ExE            ExP            ExW1           PxT            PxE            PxP            PxW1           W1xT           W1xE           W1xP           W1xW1       
    24    0.93127E+03    0.15271E+01    0.65534E-04   -0.98688E-02    0.15271E+01    0.93664E-02   -0.16438E-07    0.10243E-03    0.65534E-04   -0.16438E-07    0.21705E-09   -0.27055E-08   -0.98688E-02    0.10243E-03   -0.27055E-08    0.15104E-02
    25    0.94541E+03    0.15659E+01    0.61111E-04   -0.10132E-01    0.15659E+01    0.10761E-01   -0.29475E-08    0.11756E-03    0.61111E-04   -0.29475E-08    0.20135E-09   -0.28178E-08   -0.10132E-01    0.11756E-03   -0.28178E-08    0.16345E-02
    26    0.95974E+03    0.16100E+01    0.57115E-04   -0.10395E-01    0.16100E+01    0.12379E-01   -0.10337E-08    0.11932E-03    0.57115E-04   -0.10337E-08    0.18721E-09   -0.28821E-08   -0.10395E-01    0.11932E-03   -0.28821E-08    0.17633E-02
    27    0.97451E+03    0.16564E+01    0.53486E-04   -0.10648E-01    0.16564E+01    0.14178E-01   -0.55589E-08    0.10722E-03    0.53486E-04   -0.55589E-08    0.17444E-09   -0.29449E-08   -0.10648E-01    0.10722E-03   -0.29449E-08    0.18969E-02
    28    0.98956E+03    0.17024E+01    0.50174E-04   -0.10867E-01    0.17024E+01    0.16144E-01   -0.10944E-07    0.81900E-04    0.50174E-04   -0.10944E-07    0.16286E-09   -0.30569E-08   -0.10867E-01    0.81900E-04   -0.30569E-08    0.20352E-02
    29    0.10050E+04    0.17460E+01    0.47152E-04   -0.11021E-01    0.17460E+01    0.18287E-01   -0.16067E-07    0.47091E-04    0.47152E-04   -0.16067E-07    0.15233E-09   -0.31752E-08   -0.11021E-01    0.47091E-04   -0.31752E-08    0.21782E-02
    30    0.10206E+04    0.17841E+01    0.44398E-04   -0.11096E-01    0.17841E+01    0.20624E-01   -0.21046E-07    0.72207E-05    0.44398E-04   -0.21046E-07    0.14271E-09   -0.32491E-08   -0.11096E-01    0.72207E-05   -0.32491E-08    0.23257E-02
    31    0.10364E+04    0.18143E+01    0.41876E-04   -0.11150E-01    0.18143E+01    0.23139E-01   -0.26492E-07   -0.33574E-04    0.41876E-04   -0.26492E-07    0.13392E-09   -0.32910E-08   -0.11150E-01   -0.33574E-04   -0.32910E-08    0.24777E-02
    32    0.10525E+04    0.18344E+01    0.39548E-04   -0.11241E-01    0.18344E+01    0.25807E-01   -0.32524E-07   -0.71466E-04    0.39548E-04   -0.32524E-07    0.12587E-09   -0.33310E-08   -0.11241E-01   -0.71466E-04   -0.33310E-08    0.26344E-02
    33    0.10690E+04    0.18417E+01    0.37389E-04   -0.11355E-01    0.18417E+01    0.28638E-01   -0.36792E-07   -0.10357E-03    0.37389E-04   -0.36792E-07    0.11847E-09   -0.34073E-08   -0.11355E-01   -0.10357E-03   -0.34073E-08    0.27956E-02
    34    0.10857E+04    0.18354E+01    0.35377E-04   -0.11465E-01    0.18354E+01    0.31662E-01   -0.36867E-07   -0.12711E-03    0.35377E-04   -0.36867E-07    0.11166E-09   -0.35386E-08   -0.11465E-01   -0.12711E-03   -0.35386E-08    0.29615E-02
    35    0.11026E+04    0.18197E+01    0.33502E-04   -0.11589E-01    0.18197E+01    0.34900E-01   -0.32484E-07   -0.13885E-03    0.33502E-04   -0.32484E-07    0.10538E-09   -0.36570E-08   -0.11589E-01   -0.13885E-03   -0.36570E-08    0.31318E-02
    36    0.11195E+04    0.17976E+01    0.31756E-04   -0.11742E-01    0.17976E+01    0.38375E-01   -0.24530E-07   -0.13632E-03    0.31756E-04   -0.24530E-07    0.99574E-10   -0.37008E-08   -0.11742E-01   -0.13632E-03   -0.37008E-08    0.33066E-02
    37    0.11366E+04    0.17652E+01    0.30141E-04   -0.11911E-01    0.17652E+01    0.42077E-01   -0.16332E-07   -0.12062E-03    0.30141E-04   -0.16332E-07    0.94199E-10   -0.37220E-08   -0.11911E-01   -0.12062E-03   -0.37220E-08    0.34859E-02
    38    0.11541E+04    0.17202E+01    0.28658E-04   -0.12076E-01    0.17202E+01    0.46003E-01   -0.10948E-07   -0.93952E-04    0.28658E-04   -0.10948E-07    0.89213E-10   -0.37831E-08   -0.12076E-01   -0.93952E-04   -0.37831E-08    0.36696E-02
    39    0.11719E+04    0.16648E+01    0.27290E-04   -0.12235E-01    0.16648E+01    0.50166E-01   -0.79095E-08   -0.59379E-04    0.27290E-04   -0.79095E-08    0.84581E-10   -0.38766E-08   -0.12235E-01   -0.59379E-04   -0.38766E-08    0.38578E-02
    40    0.11899E+04    0.16018E+01    0.26014E-04   -0.12389E-01    0.16018E+01    0.54586E-01   -0.58694E-08   -0.20177E-04    0.26014E-04   -0.58694E-08    0.80270E-10   -0.39771E-08   -0.12389E-01   -0.20177E-04   -0.39771E-08    0.40504E-02
    41    0.12082E+04    0.15331E+01    0.24812E-04   -0.12538E-01    0.15331E+01    0.59283E-01   -0.37580E-08    0.20327E-04    0.24812E-04   -0.37580E-08    0.76248E-10   -0.40648E-08   -0.12538E-01    0.20327E-04   -0.40648E-08    0.42472E-02
    42    0.12264E+04    0.14568E+01    0.23678E-04   -0.12674E-01    0.14568E+01    0.64259E-01   -0.16218E-08    0.58620E-04    0.23678E-04   -0.16218E-08    0.72494E-10   -0.41397E-08   -0.12674E-01    0.58620E-04   -0.41397E-08    0.44484E-02
    43    0.12447E+04    0.13701E+01    0.22611E-04   -0.12789E-01    0.13701E+01    0.69510E-01    0.21367E-09    0.91139E-04    0.22611E-04    0.21367E-09    0.68988E-10   -0.42071E-08   -0.12789E-01    0.91139E-04   -0.42071E-08    0.46539E-02
    44    0.12631E+04    0.12710E+01    0.21606E-04   -0.12873E-01    0.12710E+01    0.75017E-01    0.14228E-08    0.11432E-03    0.21606E-04    0.14228E-08    0.65708E-10   -0.42723E-08   -0.12873E-01    0.11432E-03   -0.42723E-08    0.48637E-02
    45    0.12818E+04    0.11577E+01    0.20662E-04   -0.12919E-01    0.11577E+01    0.80771E-01    0.16801E-08    0.12461E-03    0.20662E-04    0.16801E-08    0.62635E-10   -0.43404E-08   -0.12919E-01    0.12461E-03   -0.43404E-08    0.50777E-02
    46    0.13008E+04    0.10271E+01    0.19776E-04   -0.12921E-01    0.10271E+01    0.86771E-01    0.78329E-09    0.11964E-03    0.19776E-04    0.78329E-09    0.59749E-10   -0.44152E-08   -0.12921E-01    0.11964E-03   -0.44152E-08    0.52960E-02
    47    0.13200E+04    0.88096E+00    0.18943E-04   -0.12893E-01    0.88096E+00    0.93017E-01   -0.97643E-09    0.10184E-03    0.18943E-04   -0.97643E-09    0.57039E-10   -0.44947E-08   -0.12893E-01    0.10184E-03   -0.44947E-08    0.55185E-02
    48    0.13392E+04    0.72492E+00    0.18157E-04   -0.12853E-01    0.72492E+00    0.99521E-01   -0.31846E-08    0.74867E-04    0.18157E-04   -0.31846E-08    0.54491E-10   -0.45753E-08   -0.12853E-01    0.74867E-04   -0.45753E-08    0.57452E-02
    49    0.13586E+04    0.56405E+00    0.17413E-04   -0.12820E-01    0.56405E+00    0.10627E+00   -0.54268E-08    0.42346E-04    0.17413E-04   -0.54268E-08    0.52094E-10   -0.46535E-08   -0.12820E-01    0.42346E-04   -0.46535E-08    0.59760E-02
