#    L    TxT            TxE            TxP            TxW1           ExT            ExE            ExP            ExW1           PxT            PxE            PxP            PxW1           W1xT           W1xE           W1xP           W1xW1       
   402    0.16556E+04   -0.37329E+01    0.47895E-07   -0.65689E-02   -0.37329E+01    0.21110E+02   -0.16705E-09    0.53310E-05    0.47895E-07   -0.16705E-09    0.13433E-12   -0.26035E-08   -0.65689E-02    0.53310E-05   -0.26035E-08    0.20866E+00
   403    0.16521E+04   -0.55717E+01    0.47515E-07   -0.65265E-02   -0.55717E+01    0.21082E+02   -0.22276E-09    0.24984E-05    0.47515E-07   -0.22276E-09    0.13320E-12   -0.25989E-08   -0.65265E-02    0.24984E-05   -0.25989E-08    0.20944E+00
   404    0.16490E+04   -0.73983E+01    0.47144E-07   -0.64819E-02   -0.73983E+01    0.21049E+02   -0.28125E-09   -0.16874E-06    0.47144E-07   -0.28125E-09    0.13208E-12   -0.25944E-08   -0.64819E-02   -0.16874E-06   -0.25944E-08    0.21023E+00
   405    0.16463E+04   -0.92136E+01    0.46780E-07   -0.64351E-02   -0.92136E+01    0.21012E+02   -0.34239E-09   -0.26742E-05    0.46780E-07   -0.34239E-09    0.13096E-12   -0.25899E-08   -0.64351E-02   -0.26742E-05   -0.25899E-08    0.21102E+00
   406    0.16439E+04   -0.11015E+02    0.46425E-07   -0.63864E-02   -0.11015E+02    0.20972E+02   -0.40602E-09   -0.50219E-05    0.46425E-07   -0.40602E-09    0.12987E-12   -0.25853E-08   -0.63864E-02   -0.50219E-05   -0.25853E-08    0.21181E+00
   407    0.16419E+04   -0.12805E+02    0.46079E-07   -0.63360E-02   -0.12805E+02    0.20927E+02   -0.47201E-09   -0.72156E-05    0.46079E-07   -0.47201E-09    0.12878E-12   -0.25808E-08   -0.63360E-02   -0.72156E-05   -0.25808E-08    0.21260E+00
   408    0.16403E+04   -0.14578E+02    0.45740E-07   -0.62838E-02   -0.14578E+02    0.20879E+02   -0.54020E-09   -0.92593E-05    0.45740E-07   -0.54020E-09    0.12770E-12   -0.25763E-08   -0.62838E-02   -0.92593E-05   -0.25763E-08    0.21339E+00
   409    0.16392E+04   -0.16337E+02    0.45410E-07   -0.62302E-02   -0.16337E+02    0.20828E+02   -0.61045E-09   -0.11157E-04    0.45410E-07   -0.61045E-09    0.12663E-12   -0.25718E-08   -0.62302E-02   -0.11157E-04   -0.25718E-08    0.21418E+00
   410    0.16383E+04   -0.18081E+02    0.45089E-07   -0.61752E-02   -0.18081E+02    0.20772E+02   -0.68263E-09   -0.12912E-04    0.45089E-07   -0.68263E-09    0.12558E-12   -0.25673E-08   -0.61752E-02   -0.12912E-04   -0.25673E-08    0.21497E+00
   411    0.16379E+04   -0.19807E+02    0.44775E-07   -0.61191E-02   -0.19807E+02    0.20713E+02   -0.75657E-09   -0.14528E-04    0.44775E-07   -0.75657E-09    0.12453E-12   -0.25628E-08   -0.61191E-02   -0.14528E-04   -0.25628E-08    0.21576E+00
   412    0.16378E+04   -0.21517E+02    0.44470E-07   -0.60619E-02   -0.21517E+02    0.20650E+02   -0.83215E-09   -0.16010E-04    0.44470E-07   -0.83215E-09    0.12350E-12   -0.25583E-08   -0.60619E-02   -0.16010E-04   -0.25583E-08    0.21656E+00
   413    0.16381E+04   -0.23209E+02    0.44173E-07   -0.60038E-02   -0.23209E+02    0.20584E+02   -0.90921E-09   -0.17361E-04    0.44173E-07   -0.90921E-09    0.12248E-12   -0.25539E-08   -0.60038E-02   -0.17361E-04   -0.25539E-08    0.21735E+00
   414    0.16387E+04   -0.24884E+02    0.43885E-07   -0.59450E-02   -0.24884E+02    0.20514E+02   -0.98760E-09   -0.18585E-04    0.43885E-07   -0.98760E-09    0.12146E-12   -0.25495E-08   -0.59450E-02   -0.18585E-04   -0.25495E-08    0.21815E+00
   415    0.16397E+04   -0.26537E+02    0.43605E-07   -0.58856E-02   -0.26537E+02    0.20441E+02   -0.10672E-08   -0.19685E-04    0.43605E-07   -0.10672E-08    0.12046E-12   -0.25451E-08   -0.58856E-02   -0.19685E-04   -0.25451E-08    0.21894E+00
   416    0.16410E+04   -0.28173E+02    0.43334E-07   -0.58258E-02   -0.28173E+02    0.20363E+02   -0.11478E-08   -0.20667E-04    0.43334E-07   -0.11478E-08    0.11947E-12   -0.25407E-08   -0.58258E-02   -0.20667E-04   -0.25407E-08    0.21974E+00
   417    0.16426E+04   -0.29788E+02    0.43070E-07   -0.57657E-02   -0.29788E+02    0.20283E+02   -0.12294E-08   -0.21532E-04    0.43070E-07   -0.12294E-08    0.11849E-12   -0.25363E-08   -0.57657E-02   -0.21532E-04   -0.25363E-08    0.22054E+00
   418    0.16446E+04   -0.31381E+02    0.42815E-07   -0.57054E-02   -0.31381E+02    0.20197E+02   -0.13117E-08   -0.22287E-04    0.42815E-07   -0.13117E-08    0.11751E-12   -0.25320E-08   -0.57054E-02   -0.22287E-04   -0.25320E-08    0.22133E+00
   419    0.16470E+04   -0.32953E+02    0.42569E-07   -0.56452E-02   -0.32953E+02    0.20110E+02   -0.13946E-08   -0.22933E-04    0.42569E-07   -0.13946E-08    0.11655E-12   -0.25277E-08   -0.56452E-02   -0.22933E-04   -0.25277E-08    0.22213E+00
   420    0.16496E+04   -0.34503E+02    0.42331E-07   -0.55852E-02   -0.34503E+02    0.20019E+02   -0.14780E-08   -0.23476E-04    0.42331E-07   -0.14780E-08    0.11560E-12   -0.25235E-08   -0.55852E-02   -0.23476E-04   -0.25235E-08    0.22293E+00
   421    0.16526E+04   -0.36030E+02    0.42101E-07   -0.55255E-02   -0.36030E+02    0.19925E+02   -0.15617E-08   -0.23918E-04    0.42101E-07   -0.15617E-08    0.11466E-12   -0.25192E-08   -0.55255E-02   -0.23918E-04   -0.25192E-08    0.22373E+00
   422    0.16560E+04   -0.37534E+02    0.41879E-07   -0.54663E-02   -0.37534E+02    0.19827E+02   -0.16456E-08   -0.24265E-04    0.41879E-07   -0.16456E-08    0.11372E-12   -0.25151E-08   -0.54663E-02   -0.24265E-04   -0.25151E-08    0.22453E+00
   423    0.16595E+04   -0.39013E+02    0.41666E-07   -0.54078E-02   -0.39013E+02    0.19725E+02   -0.17295E-08   -0.24518E-04    0.41666E-07   -0.17295E-08    0.11280E-12   -0.25109E-08   -0.54078E-02   -0.24518E-04   -0.25109E-08    0.22533E+00
   424    0.16633E+04   -0.40469E+02    0.41462E-07   -0.53500E-02   -0.40469E+02    0.19620E+02   -0.18133E-08   -0.24684E-04    0.41462E-07   -0.18133E-08    0.11188E-12   -0.25068E-08   -0.53500E-02   -0.24684E-04   -0.25068E-08    0.22613E+00
   425    0.16676E+04   -0.41899E+02    0.41266E-07   -0.52932E-02   -0.41899E+02    0.19512E+02   -0.18969E-08   -0.24764E-04    0.41266E-07   -0.18969E-08    0.11098E-12   -0.25027E-08   -0.52932E-02   -0.24764E-04   -0.25027E-08    0.22693E+00
   426    0.16721E+04   -0.43303E+02    0.41078E-07   -0.52374E-02   -0.43303E+02    0.19401E+02   -0.19800E-08   -0.24764E-04    0.41078E-07   -0.19800E-08    0.11008E-12   -0.24987E-08   -0.52374E-02   -0.24764E-04   -0.24987E-08    0.22774E+00
   427    0.16768E+04   -0.44682E+02    0.40898E-07   -0.51829E-02   -0.44682E+02    0.19287E+02   -0.20626E-08   -0.24687E-04    0.40898E-07   -0.20626E-08    0.10919E-12   -0.24947E-08   -0.51829E-02   -0.24687E-04   -0.24947E-08    0.22854E+00
   428    0.16819E+04   -0.46033E+02    0.40727E-07   -0.51298E-02   -0.46033E+02    0.19170E+02   -0.21446E-08   -0.24537E-04    0.40727E-07   -0.21446E-08    0.10832E-12   -0.24908E-08   -0.51298E-02   -0.24537E-04   -0.24908E-08    0.22934E+00
   429    0.16871E+04   -0.47358E+02    0.40564E-07   -0.50783E-02   -0.47358E+02    0.19050E+02   -0.22256E-08   -0.24317E-04    0.40564E-07   -0.22256E-08    0.10745E-12   -0.24869E-08   -0.50783E-02   -0.24317E-04   -0.24869E-08    0.23015E+00
   430    0.16928E+04   -0.48655E+02    0.40410E-07   -0.50285E-02   -0.48655E+02    0.18927E+02   -0.23057E-08   -0.24032E-04    0.40410E-07   -0.23057E-08    0.10659E-12   -0.24831E-08   -0.50285E-02   -0.24032E-04   -0.24831E-08    0.23095E+00
   431    0.16986E+04   -0.49924E+02    0.40264E-07   -0.49805E-02   -0.49924E+02    0.18801E+02   -0.23847E-08   -0.23685E-04    0.40264E-07   -0.23847E-08    0.10573E-12   -0.24793E-08   -0.49805E-02   -0.23685E-04   -0.24793E-08    0.23175E+00
   432    0.17047E+04   -0.51166E+02    0.40127E-07   -0.49345E-02   -0.51166E+02    0.18672E+02   -0.24624E-08   -0.23281E-04    0.40127E-07   -0.24624E-08    0.10489E-12   -0.24756E-08   -0.49345E-02   -0.23281E-04   -0.24756E-08    0.23256E+00
   433    0.17111E+04   -0.52377E+02    0.39998E-07   -0.48907E-02   -0.52377E+02    0.18542E+02   -0.25387E-08   -0.22822E-04    0.39998E-07   -0.25387E-08    0.10405E-12   -0.24719E-08   -0.48907E-02   -0.22822E-04   -0.24719E-08    0.23336E+00
   434    0.17176E+04   -0.53560E+02    0.39877E-07   -0.48492E-02   -0.53560E+02    0.18407E+02   -0.26135E-08   -0.22314E-04    0.39877E-07   -0.26135E-08    0.10323E-12   -0.24683E-08   -0.48492E-02   -0.22314E-04   -0.24683E-08    0.23417E+00
   435    0.17244E+04   -0.54714E+02    0.39765E-07   -0.48102E-02   -0.54714E+02    0.18271E+02   -0.26865E-08   -0.21759E-04    0.39765E-07   -0.26865E-08    0.10241E-12   -0.24648E-08   -0.48102E-02   -0.21759E-04   -0.24648E-08    0.23498E+00
   436    0.17314E+04   -0.55837E+02    0.39661E-07   -0.47737E-02   -0.55837E+02    0.18133E+02   -0.27577E-08   -0.21162E-04    0.39661E-07   -0.27577E-08    0.10160E-12   -0.24613E-08   -0.47737E-02   -0.21162E-04   -0.24613E-08    0.23578E+00
   437    0.17387E+04   -0.56930E+02    0.39566E-07   -0.47401E-02   -0.56930E+02    0.17991E+02   -0.28269E-08   -0.20527E-04    0.39566E-07   -0.28269E-08    0.10080E-12   -0.24579E-08   -0.47401E-02   -0.20527E-04   -0.24579E-08    0.23659E+00
   438    0.17462E+04   -0.57991E+02    0.39479E-07   -0.47094E-02   -0.57991E+02    0.17847E+02   -0.28940E-08   -0.19857E-04    0.39479E-07   -0.28940E-08    0.10000E-12   -0.24545E-08   -0.47094E-02   -0.19857E-04   -0.24545E-08    0.23740E+00
   439    0.17539E+04   -0.59022E+02    0.39400E-07   -0.46817E-02   -0.59022E+02    0.17702E+02   -0.29587E-08   -0.19156E-04    0.39400E-07   -0.29587E-08    0.99213E-13   -0.24513E-08   -0.46817E-02   -0.19156E-04   -0.24513E-08    0.23820E+00
   440    0.17618E+04   -0.60020E+02    0.39330E-07   -0.46573E-02   -0.60020E+02    0.17553E+02   -0.30211E-08   -0.18428E-04    0.39330E-07   -0.30211E-08    0.98433E-13   -0.24481E-08   -0.46573E-02   -0.18428E-04   -0.24481E-08    0.23901E+00
   441    0.17700E+04   -0.60988E+02    0.39269E-07   -0.46363E-02   -0.60988E+02    0.17402E+02   -0.30809E-08   -0.17676E-04    0.39269E-07   -0.30809E-08    0.97661E-13   -0.24449E-08   -0.46363E-02   -0.17676E-04   -0.24449E-08    0.23982E+00
   442    0.17782E+04   -0.61924E+02    0.39216E-07   -0.46188E-02   -0.61924E+02    0.17249E+02   -0.31379E-08   -0.16906E-04    0.39216E-07   -0.31379E-08    0.96897E-13   -0.24419E-08   -0.46188E-02   -0.16906E-04   -0.24419E-08    0.24063E+00
   443    0.17867E+04   -0.62827E+02    0.39171E-07   -0.46049E-02   -0.62827E+02    0.17095E+02   -0.31921E-08   -0.16120E-04    0.39171E-07   -0.31921E-08    0.96140E-13   -0.24389E-08   -0.46049E-02   -0.16120E-04   -0.24389E-08    0.24143E+00
   444    0.17954E+04   -0.63696E+02    0.39135E-07   -0.45949E-02   -0.63696E+02    0.16939E+02   -0.32433E-08   -0.15323E-04    0.39135E-07   -0.32433E-08    0.95390E-13   -0.24360E-08   -0.45949E-02   -0.15323E-04   -0.24360E-08    0.24224E+00
   445    0.18042E+04   -0.64533E+02    0.39107E-07   -0.45889E-02   -0.64533E+02    0.16779E+02   -0.32913E-08   -0.14517E-04    0.39107E-07   -0.32913E-08    0.94647E-13   -0.24332E-08   -0.45889E-02   -0.14517E-04   -0.24332E-08    0.24305E+00
   446    0.18131E+04   -0.65336E+02    0.39088E-07   -0.45871E-02   -0.65336E+02    0.16619E+02   -0.33361E-08   -0.13708E-04    0.39088E-07   -0.33361E-08    0.93911E-13   -0.24305E-08   -0.45871E-02   -0.13708E-04   -0.24305E-08    0.24386E+00
   447    0.18222E+04   -0.66106E+02    0.39077E-07   -0.45895E-02   -0.66106E+02    0.16458E+02   -0.33774E-08   -0.12899E-04    0.39077E-07   -0.33774E-08    0.93183E-13   -0.24278E-08   -0.45895E-02   -0.12899E-04   -0.24278E-08    0.24467E+00
   448    0.18314E+04   -0.66843E+02    0.39075E-07   -0.45964E-02   -0.66843E+02    0.16294E+02   -0.34151E-08   -0.12094E-04    0.39075E-07   -0.34151E-08    0.92460E-13   -0.24253E-08   -0.45964E-02   -0.12094E-04   -0.24253E-08    0.24548E+00
   449    0.18408E+04   -0.67546E+02    0.39081E-07   -0.46079E-02   -0.67546E+02    0.16129E+02   -0.34490E-08   -0.11296E-04    0.39081E-07   -0.34490E-08    0.91745E-13   -0.24228E-08   -0.46079E-02   -0.11296E-04   -0.24228E-08    0.24629E+00
   450    0.18504E+04   -0.68215E+02    0.39095E-07   -0.46241E-02   -0.68215E+02    0.15963E+02   -0.34791E-08   -0.10510E-04    0.39095E-07   -0.34791E-08    0.91036E-13   -0.24204E-08   -0.46241E-02   -0.10510E-04   -0.24204E-08    0.24709E+00
   451    0.18601E+04   -0.68849E+02    0.39119E-07   -0.46452E-02   -0.68849E+02    0.15795E+02   -0.35053E-08   -0.97386E-05    0.39119E-07   -0.35053E-08    0.90334E-13   -0.24182E-08   -0.46452E-02   -0.97386E-05   -0.24182E-08    0.24790E+00
   452    0.18698E+04   -0.69451E+02    0.39150E-07   -0.46709E-02   -0.69451E+02    0.15626E+02   -0.35275E-08   -0.89833E-05    0.39150E-07   -0.35275E-08    0.89639E-13   -0.24160E-08   -0.46709E-02   -0.89833E-05   -0.24160E-08    0.24871E+00
   453    0.18798E+04   -0.70017E+02    0.39189E-07   -0.47012E-02   -0.70017E+02    0.15456E+02   -0.35458E-08   -0.82447E-05    0.39189E-07   -0.35458E-08    0.88949E-13   -0.24139E-08   -0.47012E-02   -0.82447E-05   -0.24139E-08    0.24952E+00
   454    0.18898E+04   -0.70550E+02    0.39236E-07   -0.47357E-02   -0.70550E+02    0.15285E+02   -0.35604E-08   -0.75237E-05    0.39236E-07   -0.35604E-08    0.88266E-13   -0.24118E-08   -0.47357E-02   -0.75237E-05   -0.24118E-08    0.25033E+00
   455    0.18998E+04   -0.71050E+02    0.39290E-07   -0.47743E-02   -0.71050E+02    0.15113E+02   -0.35714E-08   -0.68209E-05    0.39290E-07   -0.35714E-08    0.87589E-13   -0.24099E-08   -0.47743E-02   -0.68209E-05   -0.24099E-08    0.25114E+00
   456    0.19101E+04   -0.71509E+02    0.39351E-07   -0.48167E-02   -0.71509E+02    0.14939E+02   -0.35789E-08   -0.61371E-05    0.39351E-07   -0.35789E-08    0.86919E-13   -0.24081E-08   -0.48167E-02   -0.61371E-05   -0.24081E-08    0.25195E+00
   457    0.19203E+04   -0.71942E+02    0.39419E-07   -0.48628E-02   -0.71942E+02    0.14766E+02   -0.35829E-08   -0.54729E-05    0.39419E-07   -0.35829E-08    0.86255E-13   -0.24063E-08   -0.48628E-02   -0.54729E-05   -0.24063E-08    0.25276E+00
   458    0.19307E+04   -0.72330E+02    0.39493E-07   -0.49123E-02   -0.72330E+02    0.14591E+02   -0.35836E-08   -0.48291E-05    0.39493E-07   -0.35836E-08    0.85596E-13   -0.24046E-08   -0.49123E-02   -0.48291E-05   -0.24046E-08    0.25357E+00
   459    0.19412E+04   -0.72689E+02    0.39573E-07   -0.49650E-02   -0.72689E+02    0.14417E+02   -0.35810E-08   -0.42064E-05    0.39573E-07   -0.35810E-08    0.84944E-13   -0.24029E-08   -0.49650E-02   -0.42064E-05   -0.24029E-08    0.25438E+00
   460    0.19517E+04   -0.73013E+02    0.39659E-07   -0.50207E-02   -0.73013E+02    0.14241E+02   -0.35752E-08   -0.36056E-05    0.39659E-07   -0.35752E-08    0.84298E-13   -0.24014E-08   -0.50207E-02   -0.36056E-05   -0.24014E-08    0.25519E+00
   461    0.19622E+04   -0.73302E+02    0.39751E-07   -0.50793E-02   -0.73302E+02    0.14065E+02   -0.35664E-08   -0.30273E-05    0.39751E-07   -0.35664E-08    0.83658E-13   -0.23999E-08   -0.50793E-02   -0.30273E-05   -0.23999E-08    0.25600E+00
   462    0.19729E+04   -0.73551E+02    0.39848E-07   -0.51404E-02   -0.73551E+02    0.13888E+02   -0.35546E-08   -0.24722E-05    0.39848E-07   -0.35546E-08    0.83024E-13   -0.23984E-08   -0.51404E-02   -0.24722E-05   -0.23984E-08    0.25681E+00
   463    0.19835E+04   -0.73778E+02    0.39950E-07   -0.52039E-02   -0.73778E+02    0.13711E+02   -0.35400E-08   -0.19412E-05    0.39950E-07   -0.35400E-08    0.82395E-13   -0.23971E-08   -0.52039E-02   -0.19412E-05   -0.23971E-08    0.25762E+00
   464    0.19941E+04   -0.73953E+02    0.40057E-07   -0.52696E-02   -0.73953E+02    0.13535E+02   -0.35225E-08   -0.14349E-05    0.40057E-07   -0.35225E-08    0.81773E-13   -0.23957E-08   -0.52696E-02   -0.14349E-05   -0.23957E-08    0.25842E+00
   465    0.20048E+04   -0.74107E+02    0.40168E-07   -0.53372E-02   -0.74107E+02    0.13358E+02   -0.35025E-08   -0.95405E-06    0.40168E-07   -0.35025E-08    0.81156E-13   -0.23945E-08   -0.53372E-02   -0.95405E-06   -0.23945E-08    0.25923E+00
   466    0.20155E+04   -0.74216E+02    0.40283E-07   -0.54066E-02   -0.74216E+02    0.13181E+02   -0.34798E-08   -0.49934E-06    0.40283E-07   -0.34798E-08    0.80545E-13   -0.23933E-08   -0.54066E-02   -0.49934E-06   -0.23933E-08    0.26004E+00
   467    0.20263E+04   -0.74296E+02    0.40402E-07   -0.54775E-02   -0.74296E+02    0.13005E+02   -0.34546E-08   -0.71514E-07    0.40402E-07   -0.34546E-08    0.79939E-13   -0.23921E-08   -0.54775E-02   -0.71514E-07   -0.23921E-08    0.26085E+00
   468    0.20370E+04   -0.74339E+02    0.40525E-07   -0.55498E-02   -0.74339E+02    0.12829E+02   -0.34271E-08    0.32871E-06    0.40525E-07   -0.34271E-08    0.79340E-13   -0.23910E-08   -0.55498E-02    0.32871E-06   -0.23910E-08    0.26166E+00
   469    0.20477E+04   -0.74353E+02    0.40651E-07   -0.56232E-02   -0.74353E+02    0.12652E+02   -0.33972E-08    0.70061E-06    0.40651E-07   -0.33972E-08    0.78745E-13   -0.23899E-08   -0.56232E-02    0.70061E-06   -0.23899E-08    0.26247E+00
   470    0.20586E+04   -0.74330E+02    0.40779E-07   -0.56974E-02   -0.74330E+02    0.12476E+02   -0.33652E-08    0.10435E-05    0.40779E-07   -0.33652E-08    0.78156E-13   -0.23889E-08   -0.56974E-02    0.10435E-05   -0.23889E-08    0.26328E+00
   471    0.20692E+04   -0.74270E+02    0.40911E-07   -0.57724E-02   -0.74270E+02    0.12302E+02   -0.33311E-08    0.13566E-05    0.40911E-07   -0.33311E-08    0.77573E-13   -0.23879E-08   -0.57724E-02    0.13566E-05   -0.23879E-08    0.26408E+00
   472    0.20799E+04   -0.74180E+02    0.41044E-07   -0.58479E-02   -0.74180E+02    0.12128E+02   -0.32949E-08    0.16392E-05    0.41044E-07   -0.32949E-08    0.76995E-13   -0.23870E-08   -0.58479E-02    0.16392E-05   -0.23870E-08    0.26489E+00
   473    0.20906E+04   -0.74054E+02    0.41180E-07   -0.59237E-02   -0.74054E+02    0.11955E+02   -0.32569E-08    0.18906E-05    0.41180E-07   -0.32569E-08    0.76422E-13   -0.23861E-08   -0.59237E-02    0.18906E-05   -0.23861E-08    0.26570E+00
   474    0.21013E+04   -0.73898E+02    0.41317E-07   -0.59995E-02   -0.73898E+02    0.11783E+02   -0.32170E-08    0.21100E-05    0.41317E-07   -0.32170E-08    0.75855E-13   -0.23852E-08   -0.59995E-02    0.21100E-05   -0.23852E-08    0.26651E+00
   475    0.21120E+04   -0.73705E+02    0.41456E-07   -0.60752E-02   -0.73705E+02    0.11611E+02   -0.31754E-08    0.22968E-05    0.41456E-07   -0.31754E-08    0.75292E-13   -0.23843E-08   -0.60752E-02    0.22968E-05   -0.23843E-08    0.26731E+00
   476    0.21226E+04   -0.73477E+02    0.41596E-07   -0.61505E-02   -0.73477E+02    0.11440E+02   -0.31322E-08    0.24503E-05    0.41596E-07   -0.31322E-08    0.74735E-13   -0.23835E-08   -0.61505E-02    0.24503E-05   -0.23835E-08    0.26812E+00
   477    0.21330E+04   -0.73224E+02    0.41737E-07   -0.62253E-02   -0.73224E+02    0.11271E+02   -0.30875E-08    0.25696E-05    0.41737E-07   -0.30875E-08    0.74183E-13   -0.23827E-08   -0.62253E-02    0.25696E-05   -0.23827E-08    0.26892E+00
   478    0.21435E+04   -0.72927E+02    0.41879E-07   -0.62993E-02   -0.72927E+02    0.11102E+02   -0.30414E-08    0.26542E-05    0.41879E-07   -0.30414E-08    0.73636E-13   -0.23819E-08   -0.62993E-02    0.26542E-05   -0.23819E-08    0.26973E+00
   479    0.21540E+04   -0.72612E+02    0.42021E-07   -0.63723E-02   -0.72612E+02    0.10935E+02   -0.29939E-08    0.27032E-05    0.42021E-07   -0.29939E-08    0.73094E-13   -0.23811E-08   -0.63723E-02    0.27032E-05   -0.23811E-08    0.27054E+00
   480    0.21643E+04   -0.72257E+02    0.42162E-07   -0.64441E-02   -0.72257E+02    0.10770E+02   -0.29452E-08    0.27159E-05    0.42162E-07   -0.29452E-08    0.72557E-13   -0.23803E-08   -0.64441E-02    0.27159E-05   -0.23803E-08    0.27134E+00
   481    0.21746E+04   -0.71868E+02    0.42304E-07   -0.65145E-02   -0.71868E+02    0.10606E+02   -0.28953E-08    0.26917E-05    0.42304E-07   -0.28953E-08    0.72025E-13   -0.23796E-08   -0.65145E-02    0.26917E-05   -0.23796E-08    0.27215E+00
   482    0.21849E+04   -0.71450E+02    0.42445E-07   -0.65833E-02   -0.71450E+02    0.10444E+02   -0.28444E-08    0.26298E-05    0.42445E-07   -0.28444E-08    0.71498E-13   -0.23788E-08   -0.65833E-02    0.26298E-05   -0.23788E-08    0.27295E+00
   483    0.21950E+04   -0.71005E+02    0.42585E-07   -0.66503E-02   -0.71005E+02    0.10284E+02   -0.27926E-08    0.25294E-05    0.42585E-07   -0.27926E-08    0.70975E-13   -0.23781E-08   -0.66503E-02    0.25294E-05   -0.23781E-08    0.27376E+00
   484    0.22049E+04   -0.70527E+02    0.42724E-07   -0.67153E-02   -0.70527E+02    0.10125E+02   -0.27399E-08    0.23900E-05    0.42724E-07   -0.27399E-08    0.70458E-13   -0.23774E-08   -0.67153E-02    0.23900E-05   -0.23774E-08    0.27456E+00
   485    0.22149E+04   -0.70018E+02    0.42861E-07   -0.67780E-02   -0.70018E+02    0.99683E+01   -0.26864E-08    0.22106E-05    0.42861E-07   -0.26864E-08    0.69945E-13   -0.23766E-08   -0.67780E-02    0.22106E-05   -0.23766E-08    0.27536E+00
   486    0.22248E+04   -0.69480E+02    0.42997E-07   -0.68383E-02   -0.69480E+02    0.98140E+01   -0.26323E-08    0.19907E-05    0.42997E-07   -0.26323E-08    0.69436E-13   -0.23759E-08   -0.68383E-02    0.19907E-05   -0.23759E-08    0.27617E+00
   487    0.22346E+04   -0.68913E+02    0.43131E-07   -0.68959E-02   -0.68913E+02    0.96619E+01   -0.25777E-08    0.17294E-05    0.43131E-07   -0.25777E-08    0.68932E-13   -0.23752E-08   -0.68959E-02    0.17294E-05   -0.23752E-08    0.27697E+00
   488    0.22441E+04   -0.68316E+02    0.43262E-07   -0.69506E-02   -0.68316E+02    0.95111E+01   -0.25225E-08    0.14262E-05    0.43262E-07   -0.25225E-08    0.68433E-13   -0.23744E-08   -0.69506E-02    0.14262E-05   -0.23744E-08    0.27777E+00
   489    0.22537E+04   -0.67691E+02    0.43391E-07   -0.70022E-02   -0.67691E+02    0.93631E+01   -0.24670E-08    0.10802E-05    0.43391E-07   -0.24670E-08    0.67938E-13   -0.23736E-08   -0.70022E-02    0.10802E-05   -0.23736E-08    0.27857E+00
   490    0.22631E+04   -0.67036E+02    0.43517E-07   -0.70506E-02   -0.67036E+02    0.92179E+01   -0.24112E-08    0.69071E-06    0.43517E-07   -0.24112E-08    0.67448E-13   -0.23729E-08   -0.70506E-02    0.69071E-06   -0.23729E-08    0.27937E+00
   491    0.22723E+04   -0.66356E+02    0.43639E-07   -0.70954E-02   -0.66356E+02    0.90749E+01   -0.23553E-08    0.25705E-06    0.43639E-07   -0.23553E-08    0.66962E-13   -0.23721E-08   -0.70954E-02    0.25705E-06   -0.23721E-08    0.28017E+00
   492    0.22815E+04   -0.65648E+02    0.43758E-07   -0.71365E-02   -0.65648E+02    0.89346E+01   -0.22992E-08   -0.22152E-06    0.43758E-07   -0.22992E-08    0.66480E-13   -0.23713E-08   -0.71365E-02   -0.22152E-06   -0.23713E-08    0.28097E+00
   493    0.22905E+04   -0.64912E+02    0.43874E-07   -0.71737E-02   -0.64912E+02    0.87957E+01   -0.22432E-08   -0.74573E-06    0.43874E-07   -0.22432E-08    0.66002E-13   -0.23704E-08   -0.71737E-02   -0.74573E-06   -0.23704E-08    0.28177E+00
   494    0.22994E+04   -0.64152E+02    0.43985E-07   -0.72068E-02   -0.64152E+02    0.86611E+01   -0.21873E-08   -0.13163E-05    0.43985E-07   -0.21873E-08    0.65529E-13   -0.23696E-08   -0.72068E-02   -0.13163E-05   -0.23696E-08    0.28257E+00
   495    0.23081E+04   -0.63365E+02    0.44091E-07   -0.72355E-02   -0.63365E+02    0.85285E+01   -0.21316E-08   -0.19339E-05    0.44091E-07   -0.21316E-08    0.65060E-13   -0.23687E-08   -0.72355E-02   -0.19339E-05   -0.23687E-08    0.28337E+00
   496    0.23166E+04   -0.62553E+02    0.44194E-07   -0.72597E-02   -0.62553E+02    0.83995E+01   -0.20761E-08   -0.25993E-05    0.44194E-07   -0.20761E-08    0.64594E-13   -0.23678E-08   -0.72597E-02   -0.25993E-05   -0.23678E-08    0.28417E+00
   497    0.23250E+04   -0.61716E+02    0.44291E-07   -0.72791E-02   -0.61716E+02    0.82733E+01   -0.20211E-08   -0.33133E-05    0.44291E-07   -0.20211E-08    0.64133E-13   -0.23669E-08   -0.72791E-02   -0.33133E-05   -0.23669E-08    0.28497E+00
   498    0.23332E+04   -0.60856E+02    0.44383E-07   -0.72935E-02   -0.60856E+02    0.81492E+01   -0.19666E-08   -0.40764E-05    0.44383E-07   -0.19666E-08    0.63676E-13   -0.23659E-08   -0.72935E-02   -0.40764E-05   -0.23659E-08    0.28576E+00
   499    0.23414E+04   -0.59970E+02    0.44469E-07   -0.73028E-02   -0.59970E+02    0.80293E+01   -0.19127E-08   -0.48896E-05    0.44469E-07   -0.19127E-08    0.63223E-13   -0.23649E-08   -0.73028E-02   -0.48896E-05   -0.23649E-08    0.28656E+00
   500    0.23494E+04   -0.59064E+02    0.44549E-07   -0.73066E-02   -0.59064E+02    0.79115E+01   -0.18594E-08   -0.57534E-05    0.44549E-07   -0.18594E-08    0.62774E-13   -0.23638E-08   -0.73066E-02   -0.57534E-05   -0.23638E-08    0.28735E+00
