#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    17    0.84447E+03    0.12151E+01    0.11464E-03    0.99751E-01    0.10952E+00    0.12151E+01    0.51885E-02   -0.88781E-07    0.27656E-05    0.37657E-05    0.11464E-03   -0.88781E-07    0.39725E-09    0.55755E-06    0.54353E-06    0.99751E-01    0.27656E-05    0.55755E-06    0.10908E-01    0.85930E-02    0.10952E+00    0.37657E-05    0.54353E-06    0.85930E-02    0.91403E-02
    18    0.85485E+03    0.12820E+01    0.10483E-03    0.94865E-01    0.10445E+00    0.12820E+01    0.55083E-02   -0.11833E-06    0.22455E-05    0.31941E-05    0.10483E-03   -0.11833E-06    0.36030E-09    0.52966E-06    0.51741E-06    0.94865E-01    0.22455E-05    0.52966E-06    0.11542E-01    0.90871E-02    0.10445E+00    0.31941E-05    0.51741E-06    0.90871E-02    0.96702E-02
    19    0.86688E+03    0.13400E+01    0.96254E-04    0.90397E-01    0.99656E-01    0.13400E+01    0.58697E-02   -0.12562E-06    0.17956E-05    0.26826E-05    0.96254E-04   -0.12562E-06    0.32818E-09    0.50437E-06    0.49303E-06    0.90397E-01    0.17956E-05    0.50437E-06    0.12186E-01    0.95798E-02    0.99656E-01    0.26826E-05    0.49303E-06    0.95798E-02    0.10189E-01
    20    0.87889E+03    0.13842E+01    0.88649E-04    0.86327E-01    0.95179E-01    0.13842E+01    0.62504E-02   -0.11884E-06    0.14538E-05    0.23306E-05    0.88649E-04   -0.11884E-06    0.30002E-09    0.48146E-06    0.47048E-06    0.86327E-01    0.14538E-05    0.48146E-06    0.12847E-01    0.10077E-01    0.95179E-01    0.23306E-05    0.47048E-06    0.10077E-01    0.10703E-01
    21    0.89122E+03    0.14206E+01    0.81861E-04    0.82630E-01    0.91035E-01    0.14206E+01    0.66952E-02   -0.99982E-07    0.11824E-05    0.20496E-05    0.81861E-04   -0.99982E-07    0.27523E-09    0.46070E-06    0.44976E-06    0.82630E-01    0.11824E-05    0.46070E-06    0.13526E-01    0.10585E-01    0.91035E-01    0.20496E-05    0.44976E-06    0.10585E-01    0.11218E-01
    22    0.90413E+03    0.14556E+01    0.75770E-04    0.79276E-01    0.87233E-01    0.14556E+01    0.73361E-02   -0.71092E-07    0.93509E-06    0.17328E-05    0.75770E-04   -0.71092E-07    0.25328E-09    0.44187E-06    0.43087E-06    0.79276E-01    0.93509E-06    0.44187E-06    0.14225E-01    0.11108E-01    0.87233E-01    0.17328E-05    0.43087E-06    0.11108E-01    0.11743E-01
    23    0.91743E+03    0.14908E+01    0.70301E-04    0.76223E-01    0.83757E-01    0.14908E+01    0.82278E-02   -0.40393E-07    0.70594E-06    0.13896E-05    0.70301E-04   -0.40393E-07    0.23377E-09    0.42470E-06    0.41367E-06    0.76223E-01    0.70594E-06    0.42470E-06    0.14942E-01    0.11647E-01    0.83757E-01    0.13896E-05    0.41367E-06    0.11647E-01    0.12281E-01
    24    0.93118E+03    0.15268E+01    0.65393E-04    0.73426E-01    0.80584E-01    0.15268E+01    0.93662E-02   -0.16455E-07    0.50075E-06    0.10589E-05    0.65393E-04   -0.16455E-07    0.21632E-09    0.40892E-06    0.39802E-06    0.73426E-01    0.50075E-06    0.40892E-06    0.15672E-01    0.12203E-01    0.80584E-01    0.10589E-05    0.39802E-06    0.12203E-01    0.12836E-01
    25    0.94532E+03    0.15655E+01    0.60979E-04    0.70846E-01    0.77690E-01    0.15655E+01    0.10760E-01   -0.30314E-08    0.33207E-06    0.78287E-06    0.60979E-04   -0.30314E-08    0.20068E-09    0.39431E-06    0.38376E-06    0.70846E-01    0.33207E-06    0.39431E-06    0.16408E-01    0.12775E-01    0.77690E-01    0.78287E-06    0.38376E-06    0.12775E-01    0.13409E-01
    26    0.95966E+03    0.16095E+01    0.56992E-04    0.68449E-01    0.75048E-01    0.16095E+01    0.12379E-01   -0.11362E-08    0.21125E-06    0.59353E-06    0.56992E-04   -0.11362E-08    0.18659E-09    0.38067E-06    0.37073E-06    0.68449E-01    0.21125E-06    0.38067E-06    0.17145E-01    0.13360E-01    0.75048E-01    0.59353E-06    0.37073E-06    0.13360E-01    0.14001E-01
    27    0.97443E+03    0.16559E+01    0.53371E-04    0.66203E-01    0.72628E-01    0.16559E+01    0.14178E-01   -0.56312E-08    0.13803E-06    0.47886E-06    0.53371E-04   -0.56312E-08    0.17386E-09    0.36785E-06    0.35878E-06    0.66203E-01    0.13803E-06    0.36785E-06    0.17874E-01    0.13953E-01    0.72628E-01    0.47886E-06    0.35878E-06    0.13953E-01    0.14610E-01
    28    0.98949E+03    0.17019E+01    0.50066E-04    0.64081E-01    0.70400E-01    0.17019E+01    0.16144E-01   -0.10961E-07    0.10551E-06    0.41338E-06    0.50066E-04   -0.10961E-07    0.16233E-09    0.35567E-06    0.34774E-06    0.64081E-01    0.10551E-06    0.35567E-06    0.18588E-01    0.14550E-01    0.70400E-01    0.41338E-06    0.34774E-06    0.14550E-01    0.15235E-01
    29    0.10049E+04    0.17454E+01    0.47051E-04    0.62054E-01    0.68331E-01    0.17454E+01    0.18287E-01   -0.16052E-07    0.91895E-07    0.36177E-06    0.47051E-04   -0.16052E-07    0.15183E-09    0.34402E-06    0.33744E-06    0.62054E-01    0.91895E-07    0.34402E-06    0.19278E-01    0.15144E-01    0.68331E-01    0.36177E-06    0.33744E-06    0.15144E-01    0.15871E-01
    30    0.10205E+04    0.17835E+01    0.44303E-04    0.60101E-01    0.66393E-01    0.17835E+01    0.20624E-01   -0.21056E-07    0.76152E-07    0.29450E-06    0.44303E-04   -0.21056E-07    0.14226E-09    0.33280E-06    0.32775E-06    0.60101E-01    0.76152E-07    0.33280E-06    0.19937E-01    0.15728E-01    0.66393E-01    0.29450E-06    0.32775E-06    0.15728E-01    0.16511E-01
    31    0.10363E+04    0.18137E+01    0.41787E-04    0.58212E-01    0.64563E-01    0.18137E+01    0.23139E-01   -0.26554E-07    0.55366E-07    0.21502E-06    0.41787E-04   -0.26554E-07    0.13350E-09    0.32195E-06    0.31856E-06    0.58212E-01    0.55366E-07    0.32195E-06    0.20560E-01    0.16298E-01    0.64563E-01    0.21502E-06    0.31856E-06    0.16298E-01    0.17150E-01
    32    0.10525E+04    0.18337E+01    0.39464E-04    0.56382E-01    0.62824E-01    0.18337E+01    0.25806E-01   -0.32622E-07    0.32124E-07    0.13593E-06    0.39464E-04   -0.32622E-07    0.12547E-09    0.31143E-06    0.30979E-06    0.56382E-01    0.32124E-07    0.31143E-06    0.21145E-01    0.16847E-01    0.62824E-01    0.13593E-06    0.30979E-06    0.16847E-01    0.17784E-01
    33    0.10690E+04    0.18409E+01    0.37310E-04    0.54598E-01    0.61156E-01    0.18409E+01    0.28637E-01   -0.36886E-07    0.12941E-07    0.73247E-07    0.37310E-04   -0.36886E-07    0.11810E-09    0.30123E-06    0.30135E-06    0.54598E-01    0.12941E-07    0.30123E-06    0.21689E-01    0.17372E-01    0.61156E-01    0.73247E-07    0.30135E-06    0.17372E-01    0.18407E-01
    34    0.10857E+04    0.18345E+01    0.35302E-04    0.52853E-01    0.59542E-01    0.18345E+01    0.31661E-01   -0.36913E-07    0.33697E-08    0.39130E-07    0.35302E-04   -0.36913E-07    0.11132E-09    0.29131E-06    0.29316E-06    0.52853E-01    0.33697E-08    0.29131E-06    0.22190E-01    0.17867E-01    0.59542E-01    0.39130E-07    0.29316E-06    0.17867E-01    0.19011E-01
    35    0.11026E+04    0.18189E+01    0.33431E-04    0.51148E-01    0.57970E-01    0.18189E+01    0.34900E-01   -0.32473E-07    0.11916E-08    0.26901E-07    0.33431E-04   -0.32473E-07    0.10506E-09    0.28168E-06    0.28518E-06    0.51148E-01    0.11916E-08    0.28168E-06    0.22651E-01    0.18331E-01    0.57970E-01    0.26901E-07    0.28518E-06    0.18331E-01    0.19592E-01
    36    0.11195E+04    0.17968E+01    0.31689E-04    0.49489E-01    0.56433E-01    0.17968E+01    0.38374E-01   -0.24491E-07    0.24867E-08    0.25606E-07    0.31689E-04   -0.24491E-07    0.99278E-10    0.27232E-06    0.27737E-06    0.49489E-01    0.24867E-08    0.27232E-06    0.23074E-01    0.18762E-01    0.56433E-01    0.25606E-07    0.27737E-06    0.18762E-01    0.20146E-01
