#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    17    0.84446E+03    0.12150E+01    0.11464E-03    0.15207E+00    0.60711E-01    0.12150E+01    0.51885E-02   -0.88877E-07    0.71531E-05    0.13695E-04    0.11464E-03   -0.88877E-07    0.39720E-09    0.58996E-06    0.17064E-06    0.15207E+00    0.71531E-05    0.58996E-06    0.53128E-02    0.13962E-04    0.60711E-01    0.13695E-04    0.17064E-06    0.13962E-04    0.17391E-03
    18    0.85484E+03    0.12820E+01    0.10484E-03    0.14821E+00    0.62145E-01    0.12820E+01    0.55083E-02   -0.11837E-06    0.63390E-05    0.18988E-04    0.10484E-03   -0.11837E-06    0.36026E-09    0.57375E-06    0.17479E-06    0.14821E+00    0.63390E-05    0.57375E-06    0.57885E-02    0.15778E-04    0.62145E-01    0.18988E-04    0.17479E-06    0.15778E-04    0.19928E-03
    19    0.86687E+03    0.13400E+01    0.96256E-04    0.14411E+00    0.63450E-01    0.13400E+01    0.58697E-02   -0.12557E-06    0.55255E-05    0.20873E-04    0.96256E-04   -0.12557E-06    0.32814E-09    0.55684E-06    0.17849E-06    0.14411E+00    0.55255E-05    0.55684E-06    0.62538E-02    0.17622E-04    0.63450E-01    0.20873E-04    0.17849E-06    0.17622E-04    0.22634E-03
    20    0.87888E+03    0.13842E+01    0.88651E-04    0.13986E+00    0.64621E-01    0.13842E+01    0.62504E-02   -0.11875E-06    0.53531E-05    0.16793E-04    0.88651E-04   -0.11875E-06    0.29998E-09    0.53951E-06    0.18176E-06    0.13986E+00    0.53531E-05    0.53951E-06    0.67067E-02    0.19468E-04    0.64621E-01    0.16793E-04    0.18176E-06    0.19468E-04    0.25502E-03
    21    0.89121E+03    0.14206E+01    0.81864E-04    0.13554E+00    0.65651E-01    0.14206E+01    0.66952E-02   -0.99935E-07    0.54943E-05    0.11263E-04    0.81864E-04   -0.99935E-07    0.27519E-09    0.52204E-06    0.18462E-06    0.13554E+00    0.54943E-05    0.52204E-06    0.71464E-02    0.21298E-04    0.65651E-01    0.11263E-04    0.18462E-06    0.21298E-04    0.28528E-03
    22    0.90411E+03    0.14556E+01    0.75772E-04    0.13121E+00    0.66537E-01    0.14556E+01    0.73361E-02   -0.71120E-07    0.54700E-05    0.92090E-05    0.75772E-04   -0.71120E-07    0.25324E-09    0.50471E-06    0.18712E-06    0.13121E+00    0.54700E-05    0.50471E-06    0.75726E-02    0.23095E-04    0.66537E-01    0.92090E-05    0.18712E-06    0.23095E-04    0.31707E-03
    23    0.91742E+03    0.14907E+01    0.70303E-04    0.12692E+00    0.67290E-01    0.14907E+01    0.82279E-02   -0.40462E-07    0.51631E-05    0.10118E-04    0.70303E-04   -0.40462E-07    0.23373E-09    0.48767E-06    0.18927E-06    0.12692E+00    0.51631E-05    0.48767E-06    0.79853E-02    0.24840E-04    0.67290E-01    0.10118E-04    0.18927E-06    0.24840E-04    0.35031E-03
    24    0.93117E+03    0.15267E+01    0.65395E-04    0.12271E+00    0.67928E-01    0.15267E+01    0.93662E-02   -0.16479E-07    0.46038E-05    0.12232E-04    0.65395E-04   -0.16479E-07    0.21629E-09    0.47105E-06    0.19110E-06    0.12271E+00    0.46038E-05    0.47105E-06    0.83850E-02    0.26513E-04    0.67928E-01    0.12232E-04    0.19110E-06    0.26513E-04    0.38494E-03
    25    0.94531E+03    0.15655E+01    0.60981E-04    0.11862E+00    0.68465E-01    0.15655E+01    0.10760E-01   -0.29889E-08    0.40487E-05    0.14236E-04    0.60981E-04   -0.29889E-08    0.20065E-09    0.45496E-06    0.19262E-06    0.11862E+00    0.40487E-05    0.45496E-06    0.87730E-02    0.28111E-04    0.68465E-01    0.14236E-04    0.19262E-06    0.28111E-04    0.42088E-03
    26    0.95965E+03    0.16095E+01    0.56993E-04    0.11466E+00    0.68912E-01    0.16095E+01    0.12379E-01   -0.10773E-08    0.37469E-05    0.15230E-04    0.56993E-04   -0.10773E-08    0.18656E-09    0.43950E-06    0.19385E-06    0.11466E+00    0.37469E-05    0.43950E-06    0.91510E-02    0.29629E-04    0.68912E-01    0.15230E-04    0.19385E-06    0.29629E-04    0.45806E-03
