#    L    TT             EE             TE             PP             TP          
    75    0.19371E+04    0.37594E+00   -0.80212E+01    0.50276E+07    0.87494E+04
    76    0.19623E+04    0.38934E+00   -0.85127E+01    0.49977E+07    0.86075E+04
    77    0.19878E+04    0.40291E+00   -0.90147E+01    0.49678E+07    0.84680E+04
    78    0.20137E+04    0.41666E+00   -0.95286E+01    0.49378E+07    0.83304E+04
    79    0.20398E+04    0.43055E+00   -0.10050E+02    0.49078E+07    0.81940E+04
    80    0.20661E+04    0.44458E+00   -0.10582E+02    0.48778E+07    0.80582E+04
    81    0.20926E+04    0.45869E+00   -0.11123E+02    0.48478E+07    0.79227E+04
    82    0.21194E+04    0.47292E+00   -0.11673E+02    0.48179E+07    0.77880E+04
    83    0.21463E+04    0.48723E+00   -0.12231E+02    0.47880E+07    0.76548E+04
    84    0.21735E+04    0.50162E+00   -0.12796E+02    0.47582E+07    0.75240E+04
    85    0.22009E+04    0.51607E+00   -0.13369E+02    0.47284E+07    0.73962E+04
    86    0.22284E+04    0.53058E+00   -0.13947E+02    0.46987E+07    0.72721E+04
    87    0.22563E+04    0.54514E+00   -0.14532E+02    0.46691E+07    0.71515E+04
    88    0.22842E+04    0.55975E+00   -0.15122E+02    0.46397E+07    0.70343E+04
    89    0.23125E+04    0.57440E+00   -0.15720E+02    0.46103E+07    0.69201E+04
    90    0.23410E+04    0.58905E+00   -0.16322E+02    0.45810E+07    0.68088E+04
    91    0.23696E+04    0.60369E+00   -0.16929E+02    0.45519E+07    0.67001E+04
    92    0.23985E+04    0.61832E+00   -0.17541E+02    0.45228E+07    0.65940E+04
    93    0.24277E+04    0.63292E+00   -0.18158E+02    0.44940E+07    0.64902E+04
    94    0.24569E+04    0.64745E+00   -0.18778E+02    0.44652E+07    0.63889E+04
    95    0.24864E+04    0.66193E+00   -0.19402E+02    0.44366E+07    0.62898E+04
    96    0.25159E+04    0.67633E+00   -0.20030E+02    0.44081E+07    0.61929E+04
    97    0.25459E+04    0.69064E+00   -0.20659E+02    0.43797E+07    0.60982E+04
    98    0.25760E+04    0.70485E+00   -0.21290E+02    0.43515E+07    0.60056E+04
    99    0.26062E+04    0.71893E+00   -0.21924E+02    0.43234E+07    0.59149E+04
   100    0.26367E+04    0.73287E+00   -0.22556E+02    0.42955E+07    0.58261E+04
   101    0.26673E+04    0.74675E+00   -0.23191E+02    0.42677E+07    0.57391E+04
   102    0.26985E+04    0.76040E+00   -0.23825E+02    0.42401E+07    0.56540E+04
   103    0.27296E+04    0.77391E+00   -0.24460E+02    0.42127E+07    0.55704E+04
   104    0.27608E+04    0.78727E+00   -0.25093E+02    0.41854E+07    0.54885E+04
   105    0.27923E+04    0.80042E+00   -0.25725E+02    0.41582E+07    0.54081E+04
   106    0.28239E+04    0.81342E+00   -0.26355E+02    0.41313E+07    0.53292E+04
   107    0.28555E+04    0.82614E+00   -0.26982E+02    0.41045E+07    0.52517E+04
   108    0.28874E+04    0.83863E+00   -0.27607E+02    0.40779E+07    0.51754E+04
   109    0.29195E+04    0.85084E+00   -0.28228E+02    0.40514E+07    0.51003E+04
   110    0.29516E+04    0.86276E+00   -0.28844E+02    0.40252E+07    0.50264E+04
   111    0.29839E+04    0.87447E+00   -0.29456E+02    0.39991E+07    0.49536E+04
   112    0.30164E+04    0.88589E+00   -0.30064E+02    0.39732E+07    0.48819E+04
   113    0.30490E+04    0.89702E+00   -0.30666E+02    0.39475E+07    0.48112E+04
   114    0.30817E+04    0.90779E+00   -0.31262E+02    0.39220E+07    0.47416E+04
   115    0.31147E+04    0.91835E+00   -0.31850E+02    0.38966E+07    0.46730E+04
   116    0.31477E+04    0.92847E+00   -0.32432E+02    0.38714E+07    0.46055E+04
   117    0.31809E+04    0.93824E+00   -0.33005E+02    0.38465E+07    0.45391E+04
   118    0.32143E+04    0.94779E+00   -0.33571E+02    0.38217E+07    0.44737E+04
   119    0.32477E+04    0.95698E+00   -0.34127E+02    0.37971E+07    0.44094E+04
   120    0.32812E+04    0.96566E+00   -0.34673E+02    0.37726E+07    0.43462E+04
   121    0.33147E+04    0.97414E+00   -0.35210E+02    0.37484E+07    0.42840E+04
   122    0.33483E+04    0.98210E+00   -0.35736E+02    0.37243E+07    0.42229E+04
   123    0.33820E+04    0.98964E+00   -0.36252E+02    0.37005E+07    0.41628E+04
   124    0.34157E+04    0.99681E+00   -0.36754E+02    0.36768E+07    0.41038E+04
   125    0.34494E+04    0.10036E+01   -0.37245E+02    0.36533E+07    0.40459E+04
   126    0.34832E+04    0.10099E+01   -0.37724E+02    0.36300E+07    0.39890E+04
   127    0.35170E+04    0.10158E+01   -0.38191E+02    0.36068E+07    0.39332E+04
   128    0.35508E+04    0.10213E+01   -0.38643E+02    0.35839E+07    0.38784E+04
   129    0.35847E+04    0.10264E+01   -0.39082E+02    0.35611E+07    0.38247E+04
   130    0.36185E+04    0.10309E+01   -0.39506E+02    0.35385E+07    0.37720E+04
   131    0.36523E+04    0.10350E+01   -0.39916E+02    0.35161E+07    0.37204E+04
   132    0.36863E+04    0.10387E+01   -0.40310E+02    0.34939E+07    0.36698E+04
   133    0.37201E+04    0.10419E+01   -0.40689E+02    0.34718E+07    0.36202E+04
   134    0.37539E+04    0.10447E+01   -0.41050E+02    0.34500E+07    0.35716E+04
   135    0.37877E+04    0.10470E+01   -0.41395E+02    0.34283E+07    0.35239E+04
   136    0.38214E+04    0.10488E+01   -0.41721E+02    0.34068E+07    0.34771E+04
   137    0.38550E+04    0.10501E+01   -0.42030E+02    0.33855E+07    0.34312E+04
   138    0.38886E+04    0.10510E+01   -0.42320E+02    0.33643E+07    0.33862E+04
   139    0.39220E+04    0.10515E+01   -0.42592E+02    0.33433E+07    0.33420E+04
   140    0.39554E+04    0.10514E+01   -0.42844E+02    0.33225E+07    0.32985E+04
   141    0.39886E+04    0.10508E+01   -0.43077E+02    0.33019E+07    0.32559E+04
   142    0.40218E+04    0.10498E+01   -0.43289E+02    0.32815E+07    0.32139E+04
   143    0.40549E+04    0.10484E+01   -0.43482E+02    0.32612E+07    0.31727E+04
   144    0.40878E+04    0.10465E+01   -0.43654E+02    0.32410E+07    0.31322E+04
   145    0.41206E+04    0.10442E+01   -0.43804E+02    0.32211E+07    0.30923E+04
   146    0.41534E+04    0.10413E+01   -0.43934E+02    0.32013E+07    0.30530E+04
   147    0.41859E+04    0.10381E+01   -0.44041E+02    0.31817E+07    0.30143E+04
   148    0.42182E+04    0.10344E+01   -0.44127E+02    0.31622E+07    0.29762E+04
   149    0.42505E+04    0.10302E+01   -0.44191E+02    0.31429E+07    0.29386E+04
   150    0.42825E+04    0.10258E+01   -0.44229E+02    0.31238E+07    0.29015E+04
   151    0.43143E+04    0.10208E+01   -0.44246E+02    0.31048E+07    0.28649E+04
   152    0.43458E+04    0.10154E+01   -0.44240E+02    0.30860E+07    0.28288E+04
   153    0.43772E+04    0.10097E+01   -0.44208E+02    0.30674E+07    0.27932E+04
   154    0.44083E+04    0.10036E+01   -0.44153E+02    0.30489E+07    0.27580E+04
   155    0.44393E+04    0.99710E+00   -0.44074E+02    0.30305E+07    0.27233E+04
