#    L    TT             EE             BB             TE             PP             TP             EP          
    55    0.14800E+04    0.15283E+00    0.00000E+00   -0.65215E+00    0.12390E-06    0.75588E-03   -0.43575E-06
    56    0.15008E+04    0.16178E+00    0.00000E+00   -0.90209E+00    0.12328E-06    0.74085E-03   -0.40037E-06
    57    0.15219E+04    0.17087E+00    0.00000E+00   -0.11643E+01    0.12266E-06    0.72662E-03   -0.35844E-06
    58    0.15433E+04    0.18011E+00    0.00000E+00   -0.14393E+01    0.12203E-06    0.71303E-03   -0.31184E-06
    59    0.15648E+04    0.18954E+00    0.00000E+00   -0.17277E+01    0.12138E-06    0.69992E-03   -0.26244E-06
    60    0.15865E+04    0.19922E+00    0.00000E+00   -0.20287E+01    0.12073E-06    0.68715E-03   -0.21212E-06
    61    0.16087E+04    0.20924E+00    0.00000E+00   -0.23413E+01    0.12008E-06    0.67456E-03   -0.16273E-06
    62    0.16307E+04    0.21959E+00    0.00000E+00   -0.26665E+01    0.11942E-06    0.66212E-03   -0.11615E-06
    63    0.16529E+04    0.23022E+00    0.00000E+00   -0.30054E+01    0.11875E-06    0.64980E-03   -0.74219E-07
    64    0.16754E+04    0.24115E+00    0.00000E+00   -0.33593E+01    0.11808E-06    0.63758E-03   -0.38798E-07
    65    0.16980E+04    0.25235E+00    0.00000E+00   -0.37289E+01    0.11740E-06    0.62544E-03   -0.11735E-07
    66    0.17209E+04    0.26374E+00    0.00000E+00   -0.41123E+01    0.11672E-06    0.61337E-03    0.51958E-08
    67    0.17440E+04    0.27534E+00    0.00000E+00   -0.45068E+01    0.11604E-06    0.60147E-03    0.10530E-07
    68    0.17675E+04    0.28718E+00    0.00000E+00   -0.49106E+01    0.11536E-06    0.58982E-03    0.28791E-08
    69    0.17912E+04    0.29922E+00    0.00000E+00   -0.53217E+01    0.11468E-06    0.57853E-03   -0.19143E-07
    70    0.18152E+04    0.31150E+00    0.00000E+00   -0.57418E+01    0.11399E-06    0.56770E-03   -0.56924E-07
    71    0.18393E+04    0.32401E+00    0.00000E+00   -0.61731E+01    0.11331E-06    0.55740E-03   -0.10972E-06
    72    0.18636E+04    0.33674E+00    0.00000E+00   -0.66171E+01    0.11262E-06    0.54760E-03   -0.16829E-06
    73    0.18880E+04    0.34963E+00    0.00000E+00   -0.70744E+01    0.11194E-06    0.53823E-03   -0.22128E-06
    74    0.19127E+04    0.36269E+00    0.00000E+00   -0.75444E+01    0.11125E-06    0.52922E-03   -0.25735E-06
    75    0.19376E+04    0.37591E+00    0.00000E+00   -0.80255E+01    0.11057E-06    0.52052E-03   -0.26516E-06
    76    0.19629E+04    0.38931E+00    0.00000E+00   -0.85172E+01    0.10988E-06    0.51206E-03   -0.23739E-06
    77    0.19885E+04    0.40287E+00    0.00000E+00   -0.90194E+01    0.10920E-06    0.50375E-03   -0.18270E-06
    78    0.20144E+04    0.41662E+00    0.00000E+00   -0.95334E+01    0.10851E-06    0.49551E-03   -0.11372E-06
    79    0.20405E+04    0.43051E+00    0.00000E+00   -0.10055E+02    0.10783E-06    0.48725E-03   -0.43070E-07
    80    0.20669E+04    0.44454E+00    0.00000E+00   -0.10587E+02    0.10714E-06    0.47888E-03    0.16627E-07
    81    0.20934E+04    0.45865E+00    0.00000E+00   -0.11128E+02    0.10646E-06    0.47037E-03    0.55249E-07
    82    0.21202E+04    0.47287E+00    0.00000E+00   -0.11679E+02    0.10578E-06    0.46191E-03    0.72563E-07
    83    0.21472E+04    0.48718E+00    0.00000E+00   -0.12237E+02    0.10510E-06    0.45372E-03    0.70809E-07
    84    0.21745E+04    0.50157E+00    0.00000E+00   -0.12802E+02    0.10443E-06    0.44605E-03    0.52226E-07
    85    0.22018E+04    0.51601E+00    0.00000E+00   -0.13375E+02    0.10375E-06    0.43911E-03    0.19048E-07
    86    0.22294E+04    0.53052E+00    0.00000E+00   -0.13954E+02    0.10308E-06    0.43300E-03   -0.26104E-07
    87    0.22574E+04    0.54508E+00    0.00000E+00   -0.14539E+02    0.10242E-06    0.42714E-03   -0.79063E-07
    88    0.22854E+04    0.55968E+00    0.00000E+00   -0.15129E+02    0.10175E-06    0.42082E-03   -0.13528E-06
    89    0.23137E+04    0.57433E+00    0.00000E+00   -0.15727E+02    0.10109E-06    0.41333E-03   -0.19019E-06
    90    0.23422E+04    0.58897E+00    0.00000E+00   -0.16330E+02    0.10043E-06    0.40394E-03   -0.23927E-06
    91    0.23709E+04    0.60362E+00    0.00000E+00   -0.16937E+02    0.99781E-07    0.39210E-03   -0.27884E-06
    92    0.23998E+04    0.61824E+00    0.00000E+00   -0.17550E+02    0.99130E-07    0.37790E-03   -0.30875E-06
    93    0.24291E+04    0.63283E+00    0.00000E+00   -0.18167E+02    0.98484E-07    0.36159E-03   -0.32969E-06
    94    0.24584E+04    0.64736E+00    0.00000E+00   -0.18787E+02    0.97840E-07    0.34341E-03   -0.34238E-06
