#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    16    0.83493E+03    0.11446E+01    0.12592E-03    0.15454E+00    0.59394E-01    0.11446E+01    0.50431E-02   -0.29297E-07    0.71922E-05    0.87848E-05    0.12592E-03   -0.29297E-07    0.43997E-09    0.60386E-06    0.16637E-06    0.15454E+00    0.71922E-05    0.60386E-06    0.52023E-02    0.69335E-05    0.59394E-01    0.87848E-05    0.16637E-06    0.69335E-05    0.15822E-03
    17    0.84447E+03    0.12151E+01    0.11464E-03    0.15103E+00    0.60941E-01    0.12151E+01    0.51885E-02   -0.88877E-07    0.70140E-05    0.13737E-04    0.11464E-03   -0.88877E-07    0.39720E-09    0.58854E-06    0.17096E-06    0.15103E+00    0.70140E-05    0.58854E-06    0.56811E-02    0.86880E-05    0.60941E-01    0.13737E-04    0.17096E-06    0.86880E-05    0.18216E-03
    18    0.85485E+03    0.12820E+01    0.10484E-03    0.14720E+00    0.62355E-01    0.12820E+01    0.55083E-02   -0.11837E-06    0.62175E-05    0.19200E-04    0.10484E-03   -0.11837E-06    0.36026E-09    0.57222E-06    0.17508E-06    0.14720E+00    0.62175E-05    0.57222E-06    0.61507E-02    0.10517E-04    0.62355E-01    0.19200E-04    0.17508E-06    0.10517E-04    0.20782E-03
    19    0.86688E+03    0.13400E+01    0.96256E-04    0.14313E+00    0.63642E-01    0.13400E+01    0.58697E-02   -0.12557E-06    0.54266E-05    0.21127E-04    0.96256E-04   -0.12557E-06    0.32814E-09    0.55522E-06    0.17876E-06    0.14313E+00    0.54266E-05    0.55522E-06    0.66088E-02    0.12389E-04    0.63642E-01    0.21127E-04    0.17876E-06    0.12389E-04    0.23514E-03
    20    0.87889E+03    0.13842E+01    0.88651E-04    0.13892E+00    0.64798E-01    0.13842E+01    0.62504E-02   -0.11875E-06    0.52695E-05    0.17066E-04    0.88651E-04   -0.11875E-06    0.29998E-09    0.53783E-06    0.18200E-06    0.13892E+00    0.52695E-05    0.53783E-06    0.70534E-02    0.14278E-04    0.64798E-01    0.17066E-04    0.18200E-06    0.14278E-04    0.26407E-03
    21    0.89122E+03    0.14207E+01    0.81864E-04    0.13463E+00    0.65815E-01    0.14207E+01    0.66952E-02   -0.99935E-07    0.54118E-05    0.11467E-04    0.81864E-04   -0.99935E-07    0.27519E-09    0.52034E-06    0.18484E-06    0.13463E+00    0.54118E-05    0.52034E-06    0.74841E-02    0.16164E-04    0.65815E-01    0.11467E-04    0.18484E-06    0.16164E-04    0.29455E-03
    22    0.90413E+03    0.14556E+01    0.75772E-04    0.13034E+00    0.66690E-01    0.14556E+01    0.73362E-02   -0.71120E-07    0.53732E-05    0.91970E-05    0.75772E-04   -0.71120E-07    0.25324E-09    0.50300E-06    0.18732E-06    0.13034E+00    0.53732E-05    0.50300E-06    0.79007E-02    0.18028E-04    0.66690E-01    0.91970E-05    0.18732E-06    0.18028E-04    0.32654E-03
    23    0.91743E+03    0.14907E+01    0.70303E-04    0.12609E+00    0.67433E-01    0.14907E+01    0.82279E-02   -0.40462E-07    0.50532E-05    0.98947E-05    0.70303E-04   -0.40462E-07    0.23373E-09    0.48597E-06    0.18945E-06    0.12609E+00    0.50532E-05    0.48597E-06    0.83035E-02    0.19849E-04    0.67433E-01    0.98947E-05    0.18945E-06    0.19849E-04    0.35997E-03
    24    0.93118E+03    0.15268E+01    0.65395E-04    0.12192E+00    0.68060E-01    0.15268E+01    0.93662E-02   -0.16479E-07    0.44972E-05    0.11961E-04    0.65395E-04   -0.16479E-07    0.21629E-09    0.46938E-06    0.19126E-06    0.12192E+00    0.44972E-05    0.46938E-06    0.86931E-02    0.21607E-04    0.68060E-01    0.11961E-04    0.19126E-06    0.21607E-04    0.39477E-03
    25    0.94532E+03    0.15655E+01    0.60981E-04    0.11787E+00    0.68586E-01    0.15655E+01    0.10760E-01   -0.29888E-08    0.39551E-05    0.14072E-04    0.60981E-04   -0.29888E-08    0.20065E-09    0.45333E-06    0.19276E-06    0.11787E+00    0.39551E-05    0.45333E-06    0.90710E-02    0.23297E-04    0.68586E-01    0.14072E-04    0.19276E-06    0.23297E-04    0.43086E-03
    26    0.95966E+03    0.16095E+01    0.56994E-04    0.11395E+00    0.69023E-01    0.16095E+01    0.12379E-01   -0.10773E-08    0.36660E-05    0.15263E-04    0.56994E-04   -0.10773E-08    0.18656E-09    0.43792E-06    0.19399E-06    0.11395E+00    0.36660E-05    0.43792E-06    0.94391E-02    0.24911E-04    0.69023E-01    0.15263E-04    0.19399E-06    0.24911E-04    0.46817E-03
    27    0.97443E+03    0.16559E+01    0.53373E-04    0.11018E+00    0.69368E-01    0.16559E+01    0.14178E-01   -0.56060E-08    0.36220E-05    0.15730E-04    0.53373E-04   -0.56060E-08    0.17383E-09    0.42320E-06    0.19495E-06    0.11018E+00    0.36220E-05    0.42320E-06    0.97997E-02    0.26432E-04    0.69368E-01    0.15730E-04    0.19495E-06    0.26432E-04    0.50664E-03
    28    0.98949E+03    0.17018E+01    0.50067E-04    0.10659E+00    0.69620E-01    0.17018E+01    0.16144E-01   -0.10995E-07    0.37389E-05    0.15869E-04    0.50067E-04   -0.10995E-07    0.16230E-09    0.40922E-06    0.19566E-06    0.10659E+00    0.37389E-05    0.40922E-06    0.10155E-01    0.27844E-04    0.69620E-01    0.15869E-04    0.19566E-06    0.27844E-04    0.54620E-03
    29    0.10049E+04    0.17454E+01    0.47052E-04    0.10317E+00    0.69794E-01    0.17454E+01    0.18287E-01   -0.16118E-07    0.38737E-05    0.15724E-04    0.47052E-04   -0.16118E-07    0.15181E-09    0.39597E-06    0.19613E-06    0.10317E+00    0.38737E-05    0.39597E-06    0.10507E-01    0.29163E-04    0.69794E-01    0.15724E-04    0.19613E-06    0.29163E-04    0.58672E-03
    30    0.10205E+04    0.17834E+01    0.44305E-04    0.99923E-01    0.69903E-01    0.17834E+01    0.20624E-01   -0.21091E-07    0.38958E-05    0.15282E-04    0.44305E-04   -0.21091E-07    0.14223E-09    0.38345E-06    0.19638E-06    0.99923E-01    0.38958E-05    0.38345E-06    0.10858E-01    0.30406E-04    0.69903E-01    0.15282E-04    0.19638E-06    0.30406E-04    0.62812E-03
    31    0.10363E+04    0.18136E+01    0.41788E-04    0.96858E-01    0.69937E-01    0.18136E+01    0.23139E-01   -0.26529E-07    0.37829E-05    0.14669E-04    0.41788E-04   -0.26529E-07    0.13347E-09    0.37166E-06    0.19642E-06    0.96858E-01    0.37829E-05    0.37166E-06    0.11210E-01    0.31564E-04    0.69937E-01    0.14669E-04    0.19642E-06    0.31564E-04    0.67034E-03
    32    0.10525E+04    0.18337E+01    0.39466E-04    0.93976E-01    0.69884E-01    0.18337E+01    0.25806E-01   -0.32555E-07    0.35514E-05    0.14017E-04    0.39466E-04   -0.32555E-07    0.12545E-09    0.36060E-06    0.19628E-06    0.93976E-01    0.35514E-05    0.36060E-06    0.11566E-01    0.32630E-04    0.69884E-01    0.14017E-04    0.19628E-06    0.32630E-04    0.71331E-03
