#    L    TT             EE             BB             TE          
     2    0.11355E+04    0.54911E-01    0.16702E-05    0.34563E+01
     3    0.10552E+04    0.88315E-01    0.33320E-05    0.42959E+01
     4    0.98128E+03    0.97760E-01    0.55349E-05    0.43864E+01
     5    0.92441E+03    0.85346E-01    0.82678E-05    0.40402E+01
     6    0.88312E+03    0.62041E-01    0.11517E-04    0.34958E+01
     7    0.85440E+03    0.38897E-01    0.15267E-04    0.29011E+01
     8    0.83495E+03    0.22234E-01    0.19499E-04    0.23441E+01
     9    0.82256E+03    0.13126E-01    0.24191E-04    0.18691E+01
    10    0.81567E+03    0.94485E-02    0.29322E-04    0.15000E+01
    11    0.81270E+03    0.83274E-02    0.34867E-04    0.12445E+01
    12    0.81371E+03    0.77807E-02    0.40797E-04    0.11002E+01
    13    0.81691E+03    0.69580E-02    0.47087E-04    0.10427E+01
    14    0.82134E+03    0.60591E-02    0.53704E-04    0.10431E+01
    15    0.82726E+03    0.53747E-02    0.60620E-04    0.10823E+01
    16    0.83504E+03    0.51112E-02    0.67801E-04    0.11446E+01
    17    0.84460E+03    0.52641E-02    0.75216E-04    0.12150E+01
    18    0.85499E+03    0.55917E-02    0.82831E-04    0.12820E+01
    19    0.86704E+03    0.59610E-02    0.90614E-04    0.13400E+01
    20    0.87907E+03    0.63499E-02    0.98531E-04    0.13842E+01
    21    0.89141E+03    0.68030E-02    0.10655E-03    0.14206E+01
    22    0.90434E+03    0.74524E-02    0.11464E-03    0.14555E+01
    23    0.91766E+03    0.83528E-02    0.12277E-03    0.14906E+01
    24    0.93143E+03    0.94998E-02    0.13091E-03    0.15266E+01
    25    0.94559E+03    0.10903E-01    0.13903E-03    0.15654E+01
    26    0.95995E+03    0.12530E-01    0.14711E-03    0.16094E+01
    27    0.97475E+03    0.14338E-01    0.15512E-03    0.16557E+01
    28    0.98983E+03    0.16313E-01    0.16304E-03    0.17016E+01
    29    0.10053E+04    0.18466E-01    0.17086E-03    0.17451E+01
    30    0.10209E+04    0.20811E-01    0.17856E-03    0.17831E+01
    31    0.10367E+04    0.23336E-01    0.18613E-03    0.18133E+01
    32    0.10529E+04    0.26013E-01    0.19356E-03    0.18333E+01
    33    0.10694E+04    0.28854E-01    0.20085E-03    0.18405E+01
    34    0.10862E+04    0.31888E-01    0.20800E-03    0.18341E+01
    35    0.11031E+04    0.35136E-01    0.21501E-03    0.18184E+01
    36    0.11200E+04    0.38621E-01    0.22190E-03    0.17962E+01
    37    0.11371E+04    0.42333E-01    0.22867E-03    0.17636E+01
