#    L    TT             EE             TE             PP             TP          
    75    0.19376E+04    0.37591E+00   -0.80255E+01    0.50232E+07    0.87390E+04
    76    0.19629E+04    0.38931E+00   -0.85172E+01    0.49937E+07    0.85992E+04
    77    0.19884E+04    0.40287E+00   -0.90194E+01    0.49641E+07    0.84618E+04
    78    0.20144E+04    0.41662E+00   -0.95334E+01    0.49345E+07    0.83255E+04
    79    0.20405E+04    0.43051E+00   -0.10055E+02    0.49049E+07    0.81887E+04
    80    0.20669E+04    0.44453E+00   -0.10587E+02    0.48753E+07    0.80501E+04
    81    0.20934E+04    0.45865E+00   -0.11128E+02    0.48457E+07    0.79090E+04
    82    0.21202E+04    0.47287E+00   -0.11678E+02    0.48162E+07    0.77686E+04
    83    0.21472E+04    0.48718E+00   -0.12237E+02    0.47866E+07    0.76327E+04
    84    0.21745E+04    0.50156E+00   -0.12802E+02    0.47572E+07    0.75052E+04
    85    0.22018E+04    0.51601E+00   -0.13375E+02    0.47278E+07    0.73901E+04
    86    0.22294E+04    0.53052E+00   -0.13954E+02    0.46984E+07    0.72886E+04
    87    0.22574E+04    0.54508E+00   -0.14539E+02    0.46692E+07    0.71914E+04
    88    0.22854E+04    0.55968E+00   -0.15129E+02    0.46400E+07    0.70863E+04
    89    0.23137E+04    0.57433E+00   -0.15727E+02    0.46110E+07    0.69613E+04
    90    0.23422E+04    0.58897E+00   -0.16330E+02    0.45822E+07    0.68044E+04
    91    0.23709E+04    0.60361E+00   -0.16937E+02    0.45534E+07    0.66061E+04
    92    0.23998E+04    0.61824E+00   -0.17550E+02    0.45248E+07    0.63679E+04
    93    0.24291E+04    0.63283E+00   -0.18167E+02    0.44964E+07    0.60939E+04
    94    0.24584E+04    0.64736E+00   -0.18787E+02    0.44681E+07    0.57884E+04
    95    0.24879E+04    0.66183E+00   -0.19412E+02    0.44400E+07    0.54555E+04
    96    0.25175E+04    0.67623E+00   -0.20039E+02    0.44120E+07    0.50993E+04
    97    0.25475E+04    0.69053E+00   -0.20670E+02    0.43842E+07    0.47240E+04
    98    0.25777E+04    0.70474E+00   -0.21300E+02    0.43565E+07    0.43338E+04
    99    0.26080E+04    0.71881E+00   -0.21934E+02    0.43290E+07    0.39328E+04
   100    0.26385E+04    0.73275E+00   -0.22567E+02    0.43016E+07    0.35252E+04
   101    0.26692E+04    0.74662E+00   -0.23202E+02    0.42744E+07    0.31151E+04
   102    0.27005E+04    0.76027E+00   -0.23837E+02    0.42474E+07    0.27068E+04
   103    0.27316E+04    0.77377E+00   -0.24473E+02    0.42205E+07    0.23042E+04
   104    0.27630E+04    0.78713E+00   -0.25106E+02    0.41937E+07    0.19117E+04
   105    0.27945E+04    0.80027E+00   -0.25738E+02    0.41671E+07    0.15334E+04
   106    0.28262E+04    0.81327E+00   -0.26369E+02    0.41407E+07    0.11734E+04
   107    0.28578E+04    0.82597E+00   -0.26997E+02    0.41144E+07    0.83593E+03
   108    0.28898E+04    0.83846E+00   -0.27622E+02    0.40883E+07    0.52509E+03
   109    0.29220E+04    0.85066E+00   -0.28244E+02    0.40623E+07    0.24506E+03
   110    0.29542E+04    0.86258E+00   -0.28860E+02    0.40365E+07    0.00000E+00
   111    0.29866E+04    0.87427E+00   -0.29474E+02    0.40109E+07   -0.20703E+03
   112    0.30191E+04    0.88569E+00   -0.30082E+02    0.39854E+07   -0.37741E+03
   113    0.30518E+04    0.89681E+00   -0.30685E+02    0.39601E+07   -0.51361E+03
   114    0.30847E+04    0.90757E+00   -0.31281E+02    0.39349E+07   -0.61811E+03
   115    0.31177E+04    0.91812E+00   -0.31871E+02    0.39100E+07   -0.69339E+03
   116    0.31507E+04    0.92824E+00   -0.32453E+02    0.38851E+07   -0.74192E+03
   117    0.31840E+04    0.93799E+00   -0.33027E+02    0.38605E+07   -0.76618E+03
   118    0.32175E+04    0.94754E+00   -0.33593E+02    0.38360E+07   -0.76865E+03
   119    0.32510E+04    0.95672E+00   -0.34150E+02    0.38117E+07   -0.75180E+03
   120    0.32846E+04    0.96540E+00   -0.34697E+02    0.37875E+07   -0.71811E+03
   121    0.33181E+04    0.97386E+00   -0.35234E+02    0.37635E+07   -0.67007E+03
   122    0.33518E+04    0.98182E+00   -0.35761E+02    0.37397E+07   -0.61013E+03
   123    0.33855E+04    0.98935E+00   -0.36278E+02    0.37161E+07   -0.54079E+03
   124    0.34193E+04    0.99651E+00   -0.36781E+02    0.36926E+07   -0.46451E+03
   125    0.34530E+04    0.10032E+01   -0.37272E+02    0.36694E+07   -0.38378E+03
   126    0.34868E+04    0.10096E+01   -0.37752E+02    0.36463E+07   -0.30108E+03
   127    0.35206E+04    0.10155E+01   -0.38218E+02    0.36233E+07   -0.21887E+03
   128    0.35544E+04    0.10210E+01   -0.38672E+02    0.36006E+07   -0.13963E+03
   129    0.35883E+04    0.10260E+01   -0.39110E+02    0.35781E+07   -0.65852E+02
   130    0.36221E+04    0.10305E+01   -0.39534E+02    0.35557E+07    0.00000E+00
   131    0.36559E+04    0.10347E+01   -0.39944E+02    0.35335E+07    0.55966E+02
   132    0.36897E+04    0.10383E+01   -0.40338E+02    0.35115E+07    0.10217E+03
   133    0.37235E+04    0.10416E+01   -0.40717E+02    0.34897E+07    0.13926E+03
   134    0.37572E+04    0.10443E+01   -0.41078E+02    0.34680E+07    0.16788E+03
   135    0.37910E+04    0.10466E+01   -0.41423E+02    0.34466E+07    0.18867E+03
   136    0.38245E+04    0.10484E+01   -0.41748E+02    0.34253E+07    0.20228E+03
   137    0.38581E+04    0.10498E+01   -0.42057E+02    0.34042E+07    0.20935E+03
   138    0.38916E+04    0.10506E+01   -0.42347E+02    0.33833E+07    0.21053E+03
   139    0.39248E+04    0.10511E+01   -0.42617E+02    0.33625E+07    0.20647E+03
   140    0.39581E+04    0.10510E+01   -0.42870E+02    0.33420E+07    0.19781E+03
   141    0.39912E+04    0.10505E+01   -0.43101E+02    0.33216E+07    0.18518E+03
   142    0.40243E+04    0.10495E+01   -0.43313E+02    0.33013E+07    0.16925E+03
   143    0.40572E+04    0.10480E+01   -0.43504E+02    0.32813E+07    0.15065E+03
   144    0.40900E+04    0.10461E+01   -0.43676E+02    0.32614E+07    0.13004E+03
   145    0.41226E+04    0.10438E+01   -0.43826E+02    0.32417E+07    0.10804E+03
   146    0.41553E+04    0.10410E+01   -0.43954E+02    0.32221E+07    0.85315E+02
   147    0.41876E+04    0.10378E+01   -0.44060E+02    0.32027E+07    0.62503E+02
   148    0.42198E+04    0.10341E+01   -0.44145E+02    0.31835E+07    0.40249E+02
