#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    17    0.84454E+03    0.12152E+01    0.11464E-03    0.21320E-02    0.25813E-04    0.12152E+01    0.51885E-02   -0.88857E-07    0.10244E-06    0.35102E-10    0.11464E-03   -0.88857E-07    0.39727E-09    0.91851E-08    0.33075E-09    0.21320E-02    0.10244E-06    0.91851E-08    0.77148E-06    0.45240E-07    0.25813E-04    0.35102E-10    0.33075E-09    0.45240E-07    0.18729E-07
    18    0.85492E+03    0.12822E+01    0.10484E-03    0.20764E-02    0.23891E-04    0.12822E+01    0.55083E-02   -0.11836E-06    0.92458E-07    0.20174E-10    0.10484E-03   -0.11836E-06    0.36032E-09    0.88836E-08    0.30738E-09    0.20764E-02    0.92458E-07    0.88836E-08    0.82693E-06    0.46988E-07    0.23891E-04    0.20174E-10    0.30738E-09    0.46988E-07    0.19431E-07
    19    0.86695E+03    0.13402E+01    0.96259E-04    0.20202E-02    0.22163E-04    0.13402E+01    0.58697E-02   -0.12559E-06    0.81397E-07    0.11139E-10    0.96259E-04   -0.12559E-06    0.32820E-09    0.85898E-08    0.28656E-09    0.20202E-02    0.81397E-07    0.85898E-08    0.88155E-06    0.48670E-07    0.22163E-04    0.11139E-10    0.28656E-09    0.48670E-07    0.20121E-07
    20    0.87896E+03    0.13843E+01    0.88651E-04    0.19638E-02    0.20604E-04    0.13843E+01    0.62504E-02   -0.11878E-06    0.75223E-07    0.54916E-11    0.88651E-04   -0.11878E-06    0.30004E-09    0.83042E-08    0.26791E-09    0.19638E-02    0.75223E-07    0.83042E-08    0.93523E-06    0.50293E-07    0.20604E-04    0.54916E-11    0.26791E-09    0.50293E-07    0.20801E-07
    21    0.89128E+03    0.14208E+01    0.81861E-04    0.19077E-02    0.19191E-04    0.14208E+01    0.66952E-02   -0.99949E-07    0.73555E-07    0.23527E-11    0.81861E-04   -0.99949E-07    0.27524E-09    0.80277E-08    0.25116E-09    0.19077E-02    0.73555E-07    0.80277E-08    0.98800E-06    0.51868E-07    0.19191E-04    0.23527E-11    0.25116E-09    0.51868E-07    0.21476E-07
    22    0.90418E+03    0.14558E+01    0.75768E-04    0.18525E-02    0.17906E-04    0.14558E+01    0.73362E-02   -0.71116E-07    0.74080E-07    0.11404E-11    0.75768E-04   -0.71116E-07    0.25329E-09    0.77612E-08    0.23609E-09    0.18525E-02    0.74080E-07    0.77612E-08    0.10399E-05    0.53406E-07    0.17906E-04    0.11404E-11    0.23609E-09    0.53406E-07    0.22147E-07
    23    0.91748E+03    0.14909E+01    0.70299E-04    0.17984E-02    0.16736E-04    0.14909E+01    0.82279E-02   -0.40447E-07    0.73091E-07    0.83534E-12    0.70299E-04   -0.40447E-07    0.23378E-09    0.75048E-08    0.22248E-09    0.17984E-02    0.73091E-07    0.75048E-08    0.10910E-05    0.54913E-07    0.16736E-04    0.83534E-12    0.22248E-09    0.54913E-07    0.22815E-07
    24    0.93123E+03    0.15269E+01    0.65393E-04    0.17455E-02    0.15671E-04    0.15269E+01    0.93663E-02   -0.16476E-07    0.67965E-07    0.53199E-12    0.65393E-04   -0.16476E-07    0.21634E-09    0.72583E-08    0.21016E-09    0.17455E-02    0.67965E-07    0.72583E-08    0.11412E-05    0.56394E-07    0.15671E-04    0.53199E-12    0.21016E-09    0.56394E-07    0.23481E-07
    25    0.94537E+03    0.15657E+01    0.60979E-04    0.16940E-02    0.14699E-04    0.15657E+01    0.10760E-01   -0.30024E-08    0.61794E-07    0.21641E-12    0.60979E-04   -0.30024E-08    0.20069E-09    0.70216E-08    0.19898E-09    0.16940E-02    0.61794E-07    0.70216E-08    0.11906E-05    0.57855E-07    0.14699E-04    0.21641E-12    0.19898E-09    0.57855E-07    0.24144E-07
    26    0.95971E+03    0.16097E+01    0.56992E-04    0.16440E-02    0.13809E-04    0.16097E+01    0.12379E-01   -0.10950E-08    0.58172E-07    0.50746E-13    0.56992E-04   -0.10950E-08    0.18660E-09    0.67950E-08    0.18881E-09    0.16440E-02    0.58172E-07    0.67950E-08    0.12392E-05    0.59302E-07    0.13809E-04    0.50746E-13    0.18881E-09    0.59302E-07    0.24806E-07
