#    L    TT             EE             TE             PP             TP          
    75    0.19376E+04    0.37591E+00   -0.80247E+01    0.50264E+07    0.87399E+04
    76    0.19629E+04    0.38931E+00   -0.85165E+01    0.49970E+07    0.86000E+04
    77    0.19884E+04    0.40287E+00   -0.90186E+01    0.49675E+07    0.84626E+04
    78    0.20144E+04    0.41663E+00   -0.95327E+01    0.49379E+07    0.83262E+04
    79    0.20405E+04    0.43051E+00   -0.10055E+02    0.49084E+07    0.81893E+04
    80    0.20668E+04    0.44454E+00   -0.10586E+02    0.48788E+07    0.80506E+04
    81    0.20934E+04    0.45865E+00   -0.11128E+02    0.48492E+07    0.79095E+04
    82    0.21202E+04    0.47287E+00   -0.11678E+02    0.48197E+07    0.77690E+04
    83    0.21472E+04    0.48718E+00   -0.12236E+02    0.47902E+07    0.76330E+04
    84    0.21744E+04    0.50157E+00   -0.12802E+02    0.47608E+07    0.75055E+04
    85    0.22018E+04    0.51601E+00   -0.13374E+02    0.47315E+07    0.73904E+04
    86    0.22294E+04    0.53053E+00   -0.13953E+02    0.47022E+07    0.72890E+04
    87    0.22574E+04    0.54508E+00   -0.14538E+02    0.46730E+07    0.71919E+04
    88    0.22853E+04    0.55968E+00   -0.15128E+02    0.46439E+07    0.70869E+04
    89    0.23137E+04    0.57433E+00   -0.15726E+02    0.46149E+07    0.69621E+04
    90    0.23422E+04    0.58898E+00   -0.16329E+02    0.45861E+07    0.68052E+04
    91    0.23709E+04    0.60362E+00   -0.16937E+02    0.45573E+07    0.66070E+04
    92    0.23998E+04    0.61824E+00   -0.17549E+02    0.45287E+07    0.63688E+04
    93    0.24290E+04    0.63283E+00   -0.18166E+02    0.45001E+07    0.60949E+04
    94    0.24583E+04    0.64737E+00   -0.18786E+02    0.44717E+07    0.57895E+04
    95    0.24879E+04    0.66184E+00   -0.19411E+02    0.44435E+07    0.54565E+04
    96    0.25175E+04    0.67623E+00   -0.20039E+02    0.44153E+07    0.51003E+04
    97    0.25475E+04    0.69053E+00   -0.20669E+02    0.43873E+07    0.47250E+04
    98    0.25777E+04    0.70474E+00   -0.21299E+02    0.43595E+07    0.43347E+04
    99    0.26080E+04    0.71882E+00   -0.21934E+02    0.43317E+07    0.39337E+04
   100    0.26385E+04    0.73276E+00   -0.22567E+02    0.43042E+07    0.35260E+04
   101    0.26692E+04    0.74662E+00   -0.23202E+02    0.42767E+07    0.31159E+04
   102    0.27004E+04    0.76027E+00   -0.23837E+02    0.42494E+07    0.27074E+04
   103    0.27316E+04    0.77378E+00   -0.24472E+02    0.42223E+07    0.23048E+04
   104    0.27629E+04    0.78713E+00   -0.25105E+02    0.41954E+07    0.19122E+04
   105    0.27944E+04    0.80027E+00   -0.25737E+02    0.41685E+07    0.15338E+04
   106    0.28261E+04    0.81327E+00   -0.26368E+02    0.41419E+07    0.11737E+04
   107    0.28578E+04    0.82598E+00   -0.26996E+02    0.41154E+07    0.83614E+03
   108    0.28898E+04    0.83847E+00   -0.27621E+02    0.40891E+07    0.52522E+03
   109    0.29219E+04    0.85067E+00   -0.28243E+02    0.40630E+07    0.24512E+03
   110    0.29542E+04    0.86258E+00   -0.28860E+02    0.40371E+07    0.00000E+00
   111    0.29865E+04    0.87428E+00   -0.29473E+02    0.40113E+07   -0.20709E+03
   112    0.30191E+04    0.88569E+00   -0.30082E+02    0.39857E+07   -0.37751E+03
   113    0.30518E+04    0.89681E+00   -0.30684E+02    0.39603E+07   -0.51375E+03
   114    0.30846E+04    0.90758E+00   -0.31280E+02    0.39351E+07   -0.61827E+03
   115    0.31177E+04    0.91813E+00   -0.31870E+02    0.39101E+07   -0.69357E+03
   116    0.31507E+04    0.92824E+00   -0.32452E+02    0.38852E+07   -0.74212E+03
   117    0.31840E+04    0.93800E+00   -0.33026E+02    0.38605E+07   -0.76638E+03
   118    0.32175E+04    0.94754E+00   -0.33593E+02    0.38361E+07   -0.76885E+03
   119    0.32509E+04    0.95672E+00   -0.34149E+02    0.38117E+07   -0.75200E+03
   120    0.32845E+04    0.96540E+00   -0.34696E+02    0.37876E+07   -0.71830E+03
   121    0.33181E+04    0.97387E+00   -0.35234E+02    0.37637E+07   -0.67024E+03
   122    0.33518E+04    0.98183E+00   -0.35761E+02    0.37399E+07   -0.61029E+03
   123    0.33855E+04    0.98935E+00   -0.36277E+02    0.37163E+07   -0.54093E+03
   124    0.34192E+04    0.99652E+00   -0.36780E+02    0.36929E+07   -0.46464E+03
   125    0.34530E+04    0.10033E+01   -0.37272E+02    0.36697E+07   -0.38388E+03
   126    0.34868E+04    0.10096E+01   -0.37751E+02    0.36466E+07   -0.30115E+03
   127    0.35206E+04    0.10155E+01   -0.38218E+02    0.36238E+07   -0.21892E+03
   128    0.35544E+04    0.10210E+01   -0.38671E+02    0.36011E+07   -0.13967E+03
   129    0.35882E+04    0.10260E+01   -0.39110E+02    0.35786E+07   -0.65869E+02
   130    0.36221E+04    0.10305E+01   -0.39534E+02    0.35563E+07    0.00000E+00
   131    0.36559E+04    0.10347E+01   -0.39944E+02    0.35341E+07    0.55980E+02
   132    0.36897E+04    0.10383E+01   -0.40337E+02    0.35121E+07    0.10220E+03
   133    0.37235E+04    0.10416E+01   -0.40717E+02    0.34904E+07    0.13930E+03
   134    0.37572E+04    0.10443E+01   -0.41077E+02    0.34687E+07    0.16792E+03
   135    0.37910E+04    0.10466E+01   -0.41422E+02    0.34473E+07    0.18872E+03
   136    0.38245E+04    0.10484E+01   -0.41748E+02    0.34260E+07    0.20233E+03
   137    0.38581E+04    0.10498E+01   -0.42056E+02    0.34050E+07    0.20941E+03
   138    0.38916E+04    0.10506E+01   -0.42346E+02    0.33840E+07    0.21059E+03
   139    0.39248E+04    0.10511E+01   -0.42617E+02    0.33633E+07    0.20652E+03
   140    0.39581E+04    0.10510E+01   -0.42869E+02    0.33427E+07    0.19786E+03
   141    0.39912E+04    0.10505E+01   -0.43101E+02    0.33223E+07    0.18523E+03
   142    0.40242E+04    0.10495E+01   -0.43312E+02    0.33021E+07    0.16930E+03
   143    0.40572E+04    0.10480E+01   -0.43504E+02    0.32820E+07    0.15069E+03
   144    0.40900E+04    0.10461E+01   -0.43675E+02    0.32621E+07    0.13007E+03
   145    0.41226E+04    0.10438E+01   -0.43825E+02    0.32424E+07    0.10807E+03
   146    0.41553E+04    0.10410E+01   -0.43954E+02    0.32228E+07    0.85337E+02
   147    0.41876E+04    0.10378E+01   -0.44060E+02    0.32034E+07    0.62519E+02
   148    0.42197E+04    0.10341E+01   -0.44145E+02    0.31842E+07    0.40260E+02
   149    0.42518E+04    0.10299E+01   -0.44207E+02    0.31651E+07    0.19205E+02
   150    0.42836E+04    0.10255E+01   -0.44245E+02    0.31462E+07    0.00000E+00
   151    0.43153E+04    0.10206E+01   -0.44260E+02    0.31275E+07   -0.16839E+02
